Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Year
Picross DS,DS,Nintendo,Puzzle,0.5,0.17,0.02,0.3,3.5,2007
Mario Kart Wii    Read the review,Wii,Nintendo,Racing,36,15.91,12.92,3.8,9.6,2008
Mario Kart 7    Read the review,3DS,Nintendo,Racing,15.5,6.03,5.35,3,8.5,2011
Mario Kart 8 Deluxe,NS,Nintendo,Racing,13,5.05,4.98,2.11,9.7,2017
Gran Turismo,PS,Sony Computer Entertainment,Racing,11,4.02,3.87,2.54,8.5,1998
Mario Kart 64,N64,Nintendo,Racing,9.9,5.55,1.94,2.23,8.7,1997
Super Mario Kart,SNES,Nintendo,Racing,8.8,3.54,1.24,3.81,7.8,1992
Need for Speed Underground,PS2,Electronic Arts,Racing,7.2,3.27,2.83,0.08,7.1,2003
Need for Speed Underground 2,PS2,Electronic Arts,Racing,6.9,2.71,3.02,0.08,5.2,2004
Mario Kart: Super Circuit,GBA,Nintendo,Racing,5.5,2.62,1.64,0.99,4,2001
Crash Team Racing,PS,Sony Computer Entertainment,Racing,4.8,2.57,1.57,0.44,3.1,1999
Forza Motorsport 4    Read the review,X360,Microsoft Studios,Racing,4.6,2.08,1.98,0.06,2.7,2011
Gran Turismo 5 Prologue    Read the review,PS3,Sony Computer Entertainment,Racing,4.2,1.28,1.83,0.57,2.2,2008
Forza Motorsport 2,X360,Microsoft Game Studios,Racing,4,2.35,1.27,0.03,2.1,2007
MotorStorm    Read the review,PS3,Sony Computer Entertainment,Racing,3.9,1.53,1.61,0.06,2.6,2007
Gran Turismo 6,PS3,Sony Computer Entertainment America,Racing,3.5,0.77,1.87,0.41,3.5,2013
Gran Turismo (PSP),PSP,Sony Computer Entertainment,Racing,3.3,0.51,1.59,0.31,2.8,2009
Star Wars Episode I Racer,N64,LucasArts,Racing,3.1,2.31,0.62,0.14,2.7,1999
Gran Turismo    Read the review,PSP,Sony Computer Entertainment,Racing,2.9,0.43,1.4,0.31,2.7,2009
F-Zero,SNES,Nintendo,Racing,2.8,1.37,0.51,0.89,2.6,1991
Need for Speed: Hot Pursuit    Read the review,PS3,Electronic Arts,Racing,2.8,1.05,1.24,0.03,3.5,2010
Need for Speed (2015),PS4,Electronic Arts,Racing,2.7,0.59,1.66,0.06,2.3,2015
Need for Speed: Shift    Read the review,PS3,Electronic Arts,Racing,2.6,0.69,1.4,0.04,3.9,2009
Crazy Taxi,PS2,Acclaim Entertainment,Racing,2.5,1.13,1.12,0.06,2.7,2001
Pure,X360,Disney Interactive Studios,Racing,2.5,1.38,0.84,0,3.1,2008
Need for Speed: ProStreet,PS2,Electronic Arts,Racing,2.4,0.69,0,0.04,2.2,2007
Midnight Club: Los Angeles,X360,Rockstar Games,Racing,2.4,1.72,0.45,0.01,2.4,2008
TOCA Championship Racing,PS,3DO,Racing,2.3,0.07,2,0.02,2.8,1998
Need for Speed: Payback,PS4,Electronic Arts,Racing,2.2,0.62,1.18,0.04,3.9,2017
Need for Speed Rivals    Read the review,PS4,Electronic Arts,Racing,2.2,0.75,1.04,0.03,3.9,2013
Need for Speed: Hot Pursuit 2,PS2,Electronic Arts,Racing,2.1,1.68,0.31,0.02,2.2,2002
R.C. Pro-Am,NES,Nintendo,Racing,2.1,1.18,0.52,0.37,3,1988
Need for Speed: Undercover    Read the review,PS3,Electronic Arts,Racing,2.1,0.63,1.01,0.05,2.5,2008
Need for Speed: ProStreet,PS3,Electronic Arts,Racing,2,0.73,0.91,0.04,2.1,2007
Forza Motorsport 6,XOne,Microsoft Studios,Racing,2,0.9,0.92,0.04,2,2015
Rad Racer,NES,Nintendo,Racing,2,1.13,0.37,0.41,3.3,1987
Burnout Paradise,PS3,Electronic Arts,Racing,2,1.01,0.63,0.02,2.5,2008
Jet Moto 2,PS,Sony Computer Entertainment,Racing,1.9,1.41,0.42,0.03,2,1997
Need for Speed: Shift    Read the review,X360,Electronic Arts,Racing,1.9,0.73,0.96,0.01,2.9,2009
Forza Horizon 4,XOne,Microsoft Studios,Racing,1.8,0.74,0.95,0.01,2.7,2018
Crazy Taxi,DC,Sega,Racing,1.8,1.1,0.51,0.12,3.9,2000
PGR: Project Gotham Racing 2,XB,Microsoft Game Studios,Racing,1.7,0.97,0.59,0.04,2.1,2003
Need for Speed Carbon,X360,Electronic Arts,Racing,1.6,0.76,0.69,0.02,2.1,2006
F-1 World Grand Prix,N64,Video System,Racing,1.6,0.46,0.96,0.09,3.3,1998
Need for Speed: Most Wanted (2012),X360,Electronic Arts,Racing,1.5,0.62,0.79,0.01,2,2012
Forza Motorsport 7    Read the review,XOne,Microsoft Studios,Racing,1.5,0.58,0.81,0.01,2.6,2017
Tokyo Xtreme Racer Zero,PS2,Crave Entertainment,Racing,1.5,0.66,0.52,0.15,2.1,2001
Kinect Joy Ride,X360,Microsoft Game Studios,Racing,1.4,0.92,0.39,0,3.8,2010
Colin McRae Rally 3,PS2,Codemasters,Racing,1.4,0.03,1.05,0.02,2.7,2003
Need for Speed: The Run    Read the review,X360,Electronic Arts,Racing,1.4,0.63,0.57,0,2.9,2011
Burnout Paradise,X360,Electronic Arts,Racing,1.4,0.63,0.57,0.01,3.3,2008
Test Drive,PS2,Atari,Racing,1.3,0.95,0.21,0.01,2.9,2002
Need for Speed Carbon,PS2,Electronic Arts,Racing,1.3,1.22,0.05,0.05,2.4,2006
Need for Speed Underground Rivals,PSP,Electronic Arts,Racing,1.3,0.69,0.38,0.02,3.6,2005
Need for Speed Carbon,Wii,Electronic Arts,Racing,1.3,0.45,0.66,0.02,3.7,2006
Need for Speed: Most Wanted,X360,Electronic Arts,Racing,1.2,1,0.13,0.02,3.4,2005
Need for Speed Carbon,PS3,Electronic Arts,Racing,1.2,0.49,0.51,0.03,3.2,2006
Need for Speed Underground,GC,Electronic Arts,Racing,1.2,0.69,0.48,0.01,2.6,2003
F1 2011,PS3,Codemasters,Racing,1.2,0.12,0.75,0.11,3.4,2011
Rage Racer,PS,Namco,Racing,1.2,0.16,0.11,0.83,3.3,1997
Sega Rally Championship,SAT,Sega,Racing,1.2,0.21,0.16,0.77,2.2,1995
Super R.C. Pro-Am,GB,Nintendo,Racing,1.1,0.58,0.37,0.15,2.6,1991
DiRT 3,PS3,Codemasters,Racing,1.1,0.27,0.58,0.01,3.8,2011
DiRT 2    Read the review,PS3,Codemasters,Racing,1,0.27,0.53,0,2.6,2009
Mario Kart Wii    Read the review,Wii,Nintendo,Racing,36,15.91,12.92,3.8,9.6,2008
Mario Kart 7    Read the review,3DS,Nintendo,Racing,15.5,6.03,5.35,3,10,2011
Mario Kart 8 Deluxe,NS,Nintendo,Racing,13,5.05,4.98,2.11,9.3,2017
Gran Turismo,PS,Sony Computer Entertainment,Racing,11,4.02,3.87,2.54,8.5,1998
Mario Kart 64,N64,Nintendo,Racing,9.9,5.55,1.94,2.23,9.3,1997
Super Mario Kart,SNES,Nintendo,Racing,8.8,3.54,1.24,3.81,8.7,1992
Need for Speed Underground,PS2,Electronic Arts,Racing,7.2,3.27,2.83,0.08,7.7,2003
Need for Speed Underground 2,PS2,Electronic Arts,Racing,6.9,2.71,3.02,0.08,6.6,2004
Mario Kart: Super Circuit,GBA,Nintendo,Racing,5.5,2.62,1.64,0.99,5.4,2001
Crash Team Racing,PS,Sony Computer Entertainment,Racing,4.8,2.57,1.57,0.44,4.4,1999
Forza Motorsport 4    Read the review,X360,Microsoft Studios,Racing,4.6,2.08,1.98,0.06,3.4,2011
Gran Turismo 5 Prologue    Read the review,PS3,Sony Computer Entertainment,Racing,4.2,1.28,1.83,0.57,3.2,2008
Forza Motorsport 2,X360,Microsoft Game Studios,Racing,4,2.35,1.27,0.03,2.2,2007
MotorStorm    Read the review,PS3,Sony Computer Entertainment,Racing,3.9,1.53,1.61,0.06,3.7,2007
Gran Turismo 6,PS3,Sony Computer Entertainment America,Racing,3.5,0.77,1.87,0.41,2.1,2013
Gran Turismo (PSP),PSP,Sony Computer Entertainment,Racing,3.3,0.51,1.59,0.31,3.3,2009
Star Wars Episode I Racer,N64,LucasArts,Racing,3.1,2.31,0.62,0.14,3.1,1999
Gran Turismo    Read the review,PSP,Sony Computer Entertainment,Racing,2.9,0.43,1.4,0.31,2.8,2009
F-Zero,SNES,Nintendo,Racing,2.8,1.37,0.51,0.89,2.5,1991
Need for Speed: Hot Pursuit    Read the review,PS3,Electronic Arts,Racing,2.8,1.05,1.24,0.03,3.3,2010
Need for Speed (2015),PS4,Electronic Arts,Racing,2.7,0.59,1.66,0.06,3.3,2015
Need for Speed: Shift    Read the review,PS3,Electronic Arts,Racing,2.6,0.69,1.4,0.04,2.7,2009
Crazy Taxi,PS2,Acclaim Entertainment,Racing,2.5,1.13,1.12,0.06,2.7,2001
Pure,X360,Disney Interactive Studios,Racing,2.5,1.38,0.84,0,2.8,2008
Need for Speed: ProStreet,PS2,Electronic Arts,Racing,2.4,0.69,0,0.04,3.4,2007
Midnight Club: Los Angeles,X360,Rockstar Games,Racing,2.4,1.72,0.45,0.01,2.8,2008
TOCA Championship Racing,PS,3DO,Racing,2.3,0.07,2,0.02,3.5,1998
Need for Speed: Payback,PS4,Electronic Arts,Racing,2.2,0.62,1.18,0.04,2.2,2017
Need for Speed Rivals    Read the review,PS4,Electronic Arts,Racing,2.2,0.75,1.04,0.03,3.7,2013
Need for Speed: Hot Pursuit 2,PS2,Electronic Arts,Racing,2.1,1.68,0.31,0.02,3.5,2002
R.C. Pro-Am,NES,Nintendo,Racing,2.1,1.18,0.52,0.37,3.8,1988
Need for Speed: Undercover    Read the review,PS3,Electronic Arts,Racing,2.1,0.63,1.01,0.05,3.4,2008
Need for Speed: ProStreet,PS3,Electronic Arts,Racing,2,0.73,0.91,0.04,3.8,2007
Forza Motorsport 6,XOne,Microsoft Studios,Racing,2,0.9,0.92,0.04,2.6,2015
Rad Racer,NES,Nintendo,Racing,2,1.13,0.37,0.41,2.9,1987
Burnout Paradise,PS3,Electronic Arts,Racing,2,1.01,0.63,0.02,2.6,2008
Jet Moto 2,PS,Sony Computer Entertainment,Racing,1.9,1.41,0.42,0.03,3.3,1997
Need for Speed: Shift    Read the review,X360,Electronic Arts,Racing,1.9,0.73,0.96,0.01,3.7,2009
Forza Horizon 4,XOne,Microsoft Studios,Racing,1.8,0.74,0.95,0.01,3.2,2018
Crazy Taxi,DC,Sega,Racing,1.8,1.1,0.51,0.12,2.9,2000
PGR: Project Gotham Racing 2,XB,Microsoft Game Studios,Racing,1.7,0.97,0.59,0.04,3.2,2003
Need for Speed Carbon,X360,Electronic Arts,Racing,1.6,0.76,0.69,0.02,2.1,2006
F-1 World Grand Prix,N64,Video System,Racing,1.6,0.46,0.96,0.09,3.6,1998
Need for Speed: Most Wanted (2012),X360,Electronic Arts,Racing,1.5,0.62,0.79,0.01,3,2012
Forza Motorsport 7    Read the review,XOne,Microsoft Studios,Racing,1.5,0.58,0.81,0.01,3.9,2017
Tokyo Xtreme Racer Zero,PS2,Crave Entertainment,Racing,1.5,0.66,0.52,0.15,2.9,2001
Kinect Joy Ride,X360,Microsoft Game Studios,Racing,1.4,0.92,0.39,0,2.3,2010
Colin McRae Rally 3,PS2,Codemasters,Racing,1.4,0.03,1.05,0.02,3,2003
Need for Speed: The Run    Read the review,X360,Electronic Arts,Racing,1.4,0.63,0.57,0,3.5,2011
Burnout Paradise,X360,Electronic Arts,Racing,1.4,0.63,0.57,0.01,3.8,2008
Test Drive,PS2,Atari,Racing,1.3,0.95,0.21,0.01,3.3,2002
Need for Speed Carbon,PS2,Electronic Arts,Racing,1.3,1.22,0.05,0.05,2,2006
Need for Speed Underground Rivals,PSP,Electronic Arts,Racing,1.3,0.69,0.38,0.02,2.9,2005
Need for Speed Carbon,Wii,Electronic Arts,Racing,1.3,0.45,0.66,0.02,3.8,2006
Need for Speed: Most Wanted,X360,Electronic Arts,Racing,1.2,1,0.13,0.02,3,2005
Need for Speed Carbon,PS3,Electronic Arts,Racing,1.2,0.49,0.51,0.03,3.2,2006
Need for Speed Underground,GC,Electronic Arts,Racing,1.2,0.69,0.48,0.01,3.6,2003
F1 2011,PS3,Codemasters,Racing,1.2,0.12,0.75,0.11,3.9,2011
Rage Racer,PS,Namco,Racing,1.2,0.16,0.11,0.83,2.8,1997
Sega Rally Championship,SAT,Sega,Racing,1.2,0.21,0.16,0.77,3.6,1995
Super R.C. Pro-Am,GB,Nintendo,Racing,1.1,0.58,0.37,0.15,2.4,1991
DiRT 3,PS3,Codemasters,Racing,1.1,0.27,0.58,0.01,3.5,2011
DiRT 2    Read the review,PS3,Codemasters,Racing,1,0.27,0.53,0,2.7,2009
Driver: San Francisco    Read the review,PS3,Ubisoft,Racing,1,0.24,0.53,0.01,2.5,2011
Tokyo Xtreme Racer 3,PS2,Crave Entertainment,Racing,0.9,0.35,0.27,0.21,3,2003
Colin McRae Rally 2.0,PS,Codemasters,Racing,0.9,0.02,0.8,0.02,2.1,2000
Pure,PS3,Disney Interactive Studios,Racing,0.9,0.42,0.33,0,2.7,2008
LittleBigPlanet Karting,PS3,Sony Computer Entertainment,Racing,0.9,0.42,0.31,0.01,3.2,2012
GRID    Read the review,X360,Codemasters,Racing,0.9,0.33,0.44,0.01,3.1,2008
Forza Horizon 2,X360,Microsoft Studios,Racing,0.8,0.35,0.41,0,3.6,2014
Need for Speed: ProStreet,PSP,Electronic Arts,Racing,0.8,0.24,0.33,0.01,2.4,2008
Pok̩mon Dash,DS,Nintendo,Racing,0.8,0.21,0.14,0.38,2.4,2005
Formula 1,PS,Sony Computer Entertainment,Racing,0.8,0.18,0.12,0.42,3.1,1996
Split/Second,PS3,Disney Interactive Studios,Racing,0.7,0.31,0.3,0.01,2.6,2010
Blur    Read the review,PS3,Activision,Racing,0.7,0.22,0.37,0.02,3.1,2010
F1 2015,PS4,Codemasters,Racing,0.7,0.1,0.45,0.04,2.8,2015
Test Drive Unlimited 2,X360,Atari,Racing,0.7,0.3,0.32,0,2.6,2011
Donkey Kong Barrel Blast,Wii,Nintendo,Racing,0.6,0.19,0.26,0.11,4,2007
F1 2017,PS4,Deep Silver,Racing,0.6,0.04,0.47,0.02,2.6,2017
MySims Racing,DS,Electronic Arts,Racing,0.6,0.25,0.29,0,3,2009
Wave Race: Blue Storm,GC,Nintendo,Racing,0.6,0.4,0.1,0.09,3,2001
F1 2013,PS3,Codemasters,Racing,0.6,0.01,0.47,0.03,3.8,2013
Project CARS 2,PS4,Namco Bandai Games,Racing,0.6,0.1,0.35,0.02,3.2,2017
Sonic & Sega All-Stars Racing Transformed     Read the review,WiiU,Sega,Racing,0.5,0.19,0.28,0.02,3.3,2012
GT Pro Series,Wii,Ubisoft,Racing,0.5,0.46,0.01,0.02,2.4,2006
Ridge Racer 3D    Read the review,3DS,Namco Bandai,Racing,0.5,0.19,0.16,0.12,3,2011
Pok̩mon Red / Green / Blue Version,GB,Nintendo,Role-Playing,31.4,11.27,8.89,10.22,9.3,1998
Pok̩mon Diamond / Pearl Version,DS,Nintendo,Role-Playing,18.2,6.38,4.47,6.04,9.3,2007
Pok̩mon Ruby / Sapphire Version,GBA,Nintendo,Role-Playing,15.8,6.06,3.9,5.38,9.5,2003
Pok̩mon Sun/Moon,3DS,Nintendo,Role-Playing,15.2,6.02,4.34,3.82,9.2,2016
Pok̩mon Omega Ruby/Pok̩mon Alpha Sapphire,3DS,Nintendo,Role-Playing,12.7,4.78,3.98,3.15,9.6,2014
Pok̩mon FireRed / LeafGreen Version,GBA,Nintendo,Role-Playing,10.5,4.34,2.65,3.15,9.7,2004
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,8.9,5.1,2.83,0.1,8.1,2011
Pok̩mon Black 2 and White 2    Read the review,DS,Nintendo,Role-Playing,8.2,2.79,1.79,3.16,7.4,2012
Final Fantasy VIII,PS,Square EA,Role-Playing,7.9,2.28,1.72,3.63,6.5,1999
Pok̩mon: Ultra Sun and Ultra Moon,3DS,Nintendo,Role-Playing,7.2,2.46,1.74,2.55,5.7,2017
Pok̩mon Emerald Version,GBA,Nintendo,Role-Playing,6.4,2.57,1.58,2.06,6.8,2005
Pok̩mon Crystal Version,GBC,Nintendo,Role-Playing,6.4,2.55,1.56,1.29,4.2,2001
Dragon Quest IX: Sentinels of the Starry Skies    Read the review,DS,Nintendo,Role-Playing,5.8,0.63,0.67,4.35,4.9,2010
The Witcher 3: Wild Hunt    Read the review,PS4,Warner Bros. Interactive Entertainment,Role-Playing,5.4,1.48,2.82,0.28,3.3,2015
Final Fantasy IX,PS,Square,Role-Playing,5.3,1.62,0.77,2.78,3,2000
Fable III    Read the review,X360,Microsoft Game Studios,Role-Playing,5.1,3.59,1.09,0.05,4.8,2010
Fallout 4,XOne,Bethesda Softworks,Role-Playing,5,2.94,1.62,0.02,4.5,2015
Pok̩mon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,Role-Playing,4.9,1.83,1.19,1.54,3.3,2008
Dragon Quest VII,PS,Enix,Role-Playing,4.5,0.2,0.14,4.1,2.2,2001
Kingdom Hearts II,PS2,Square Enix,Role-Playing,4.3,2.2,0.58,1.38,2.2,2006
Fallout: New Vegas    Read the review,X360,Bethesda Softworks,Role-Playing,4.1,2.67,1.03,0.04,3.5,2010
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Role-Playing,3.6,0.22,0.2,3.19,2.1,2016
Crisis Core: Final Fantasy VII    Read the review,PSP,Square Enix,Role-Playing,3.2,1.35,0.6,0.8,2.1,2008
Fallout: New Vegas,PS3,Bethesda Softworks,Role-Playing,3.2,1.54,1.04,0.1,3,2010
Mass Effect 2     Read the review,X360,Electronic Arts,Role-Playing,3.1,1.99,0.81,0.03,3,2010
The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,Role-Playing,2.9,2.09,0.63,0.03,2.2,2002
Monster Hunter 3G,3DS,Capcom,Role-Playing,2.8,0.46,0.32,1.96,3,2013
Monster Hunter Freedom 2,PSP,Capcom,Role-Playing,2.6,0.37,0.27,1.75,3.7,2007
Pok̩mon Colosseum,GC,Nintendo,Role-Playing,2.5,1.21,0.57,0.7,2.9,2004
Dark Souls III,PS4,Namco Bandai Games,Role-Playing,2.4,1,0.63,0.44,2.5,2016
Dragon Age: Inquisition,PS4,Electronic Arts,Role-Playing,2.3,1.07,0.8,0.08,2.4,2014
Paper Mario: The Thousand-Year Door,GC,Nintendo,Role-Playing,2.2,1.48,0.25,0.46,3.9,2004
Final Fantasy XIII    Read the review,X360,Square Enix,Role-Playing,2.2,1.3,0.67,0.01,2.8,2010
Pok̩mon Ranger,DS,Nintendo,Role-Playing,2.2,1.28,0.03,0.73,3.8,2006
Parasite Eve,PS,Square EA,Role-Playing,2.1,0.94,0.07,1.05,3.9,1998
Final Fantasy III,DS,Square Enix,Role-Playing,2.1,0.89,0.04,1.07,3.8,2006
Pok̩mon Mystery Dungeon: Red Rescue Team,GBA,Nintendo,Role-Playing,2.1,0.71,0.52,0.74,3.4,2006
Dragon Quest XI: Echoes of an Elusive Age,PS4,Square Enix,Role-Playing,2,0.29,0.22,1.43,3.7,2018
Kingdom Hearts 358/2 Days    Read the review,DS,Square Enix,Role-Playing,2,1.06,0.26,0.53,2.9,2009
The Legend of Dragoon,PS,Sony Computer Entertainment,Role-Playing,1.9,0.94,0.44,0.39,3.2,2000
Kingdom Hearts: Chain of Memories,GBA,Square Enix,Role-Playing,1.8,1.26,0.18,0.35,3.6,2004
Dragon Quest Monsters: Joker,DS,Square Enix,Role-Playing,1.8,0.23,0.03,1.49,3.4,2007
Golden Sun,GBA,Nintendo,Role-Playing,1.8,0.93,0.38,0.4,3.7,2001
Xenosaga Episode I: Der Wille zur Macht,PS2,Namco,Role-Playing,1.7,0.63,0.49,0.45,4,2003
Dragon Quest VI: Realms of Revelation,DS,Nintendo,Role-Playing,1.7,0.2,0.15,1.35,2.1,2011
NieR: Automata,PS4,Square Enix,Role-Playing,1.7,0.56,0.51,0.42,4,2017
Dragon Age: Origins    Read the review,PS3,Electronic Arts,Role-Playing,1.7,0.96,0.42,0.08,3.3,2009
Persona 5,PS4,Atlus,Role-Playing,1.6,0.62,0.34,0.48,2.9,2017
Dragon Quest VII: Fragments of the Forgotten Past,3DS,Nintendo,Role-Playing,1.6,0.13,0.13,1.31,3.7,2016
Dragon Quest V: Hand of the Heavenly Bride    Read the review,DS,Square Enix,Role-Playing,1.6,0.17,0.02,1.36,2.5,2009
Dark Cloud,PS2,Sony Computer Entertainment,Role-Playing,1.5,0.83,0.44,0.08,2.3,2001
Xenogears,PS,Square,Role-Playing,1.5,0.29,0.19,0.89,3.5,1998
Mass Effect 2,PS3,Electronic Arts,Role-Playing,1.5,0.78,0.46,0.03,2.4,2011
Dragon Quest Monsters: Joker 2,DS,Nintendo,Role-Playing,1.4,0.09,0.07,1.24,3.7,2011
Pok̩mon Super Mystery Dungeon,3DS,Nintendo,Role-Playing,1.4,0.51,0.46,0.35,2.2,2015
Final Fantasy XII: Revenant Wings    Read the review,DS,Square Enix,Role-Playing,1.4,0.33,0.41,0.54,2.5,2007
Monster Hunter Freedom,PSP,Capcom,Role-Playing,1.3,0.24,0.04,1.03,2.6,2006
Fallout 76    Read the review,PS4,Bethesda Softworks,Role-Playing,1.3,0.52,0.49,0.1,3.3,2018
Pok̩mon Mystery Dungeon: Gates to Infinity,3DS,Nintendo,Role-Playing,1.3,0.44,0.32,0.47,2.9,2013
Final Fantasy X / X-2 HD Remaster    Read the review,PS3,Square Enix,Role-Playing,1.3,0.43,0.39,0.32,3.6,2014
Mega Man Battle Network 3 Blue / White Version,GBA,Capcom,Role-Playing,1.3,0.39,0.02,0.85,3.1,2003
Dark Souls II    Read the review,PS3,Namco Bandai Games,Role-Playing,1.3,0.38,0.35,0.41,2.8,2015
Valkyria Chronicles    Read the review,PS3,Sega,Role-Playing,1.3,0.71,0.19,0.24,3.1,2008
Tales of Xillia    Read the review,PS3,Namco Bandai Games,Role-Playing,1.2,0.29,0.2,0.67,2.4,2013
Kingdom Hearts HD II.5 ReMIX    Read the review,PS3,Square Enix,Role-Playing,1.2,0.52,0.36,0.19,2.4,2014
Golden Sun: The Lost Age,GBA,Nintendo,Role-Playing,1.2,0.61,0.27,0.27,3.6,2003
Final Fantasy I & II: Dawn of Souls,GBA,Nintendo,Role-Playing,1.2,0.64,0.24,0.29,2.8,2004
Miitopia,3DS,Nintendo,Role-Playing,1.2,0.3,0.54,0.26,2.9,2017
Dragon Quest VIII: Journey of the Cursed King,3DS,Nintendo,Role-Playing,1.2,0.14,0.11,0.88,2.2,2017
Brave Fencer Musashi,PS,Square,Role-Playing,1.1,0.25,0.17,0.65,3.3,1998
The Elder Scrolls V: Skyrim VR,PS4,Bethesda Softworks,Role-Playing,1.1,0.47,0.47,0.01,3.2,2017
Dragon Age II,X360,Electronic Arts,Role-Playing,1.1,0.72,0.29,0.01,2.7,2011
Pok̩mon Red / Green / Blue Version,GB,Nintendo,Role-Playing,31.4,11.27,8.89,10.22,9.2,1998
Pok̩mon Diamond / Pearl Version,DS,Nintendo,Role-Playing,18.2,6.38,4.47,6.04,8,2007
Pok̩mon Ruby / Sapphire Version,GBA,Nintendo,Role-Playing,15.8,6.06,3.9,5.38,10,2003
Pok̩mon Sun/Moon,3DS,Nintendo,Role-Playing,15.2,6.02,4.34,3.82,8.4,2016
Pok̩mon Omega Ruby/Pok̩mon Alpha Sapphire,3DS,Nintendo,Role-Playing,12.7,4.78,3.98,3.15,8.8,2014
Pok̩mon FireRed / LeafGreen Version,GBA,Nintendo,Role-Playing,10.5,4.34,2.65,3.15,9.4,2004
The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Role-Playing,8.9,5.1,2.83,0.1,8.5,2011
Pok̩mon Black 2 and White 2    Read the review,DS,Nintendo,Role-Playing,8.2,2.79,1.79,3.16,6.5,2012
Final Fantasy VIII,PS,Square EA,Role-Playing,7.9,2.28,1.72,3.63,6.8,1999
Pok̩mon: Ultra Sun and Ultra Moon,3DS,Nintendo,Role-Playing,7.2,2.46,1.74,2.55,6.6,2017
Pok̩mon Emerald Version,GBA,Nintendo,Role-Playing,6.4,2.57,1.58,2.06,5.7,2005
Pok̩mon Crystal Version,GBC,Nintendo,Role-Playing,6.4,2.55,1.56,1.29,5.8,2001
Dragon Quest IX: Sentinels of the Starry Skies    Read the review,DS,Nintendo,Role-Playing,5.8,0.63,0.67,4.35,4.5,2010
The Witcher 3: Wild Hunt    Read the review,PS4,Warner Bros. Interactive Entertainment,Role-Playing,5.4,1.48,2.82,0.28,4.2,2015
Final Fantasy IX,PS,Square,Role-Playing,5.3,1.62,0.77,2.78,4.9,2000
Fable III    Read the review,X360,Microsoft Game Studios,Role-Playing,5.1,3.59,1.09,0.05,4.6,2010
Fallout 4,XOne,Bethesda Softworks,Role-Playing,5,2.94,1.62,0.02,4,2015
Pok̩mon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,Role-Playing,4.9,1.83,1.19,1.54,4.3,2008
Dragon Quest VII,PS,Enix,Role-Playing,4.5,0.2,0.14,4.1,3.1,2001
Kingdom Hearts II,PS2,Square Enix,Role-Playing,4.3,2.2,0.58,1.38,2.4,2006
Fallout: New Vegas    Read the review,X360,Bethesda Softworks,Role-Playing,4.1,2.67,1.03,0.04,3.9,2010
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Role-Playing,3.6,0.22,0.2,3.19,2.2,2016
Crisis Core: Final Fantasy VII    Read the review,PSP,Square Enix,Role-Playing,3.2,1.35,0.6,0.8,2,2008
Fallout: New Vegas,PS3,Bethesda Softworks,Role-Playing,3.2,1.54,1.04,0.1,2,2010
Mass Effect 2     Read the review,X360,Electronic Arts,Role-Playing,3.1,1.99,0.81,0.03,3.4,2010
The Elder Scrolls III: Morrowind,XB,Bethesda Softworks,Role-Playing,2.9,2.09,0.63,0.03,3,2002
Monster Hunter 3G,3DS,Capcom,Role-Playing,2.8,0.46,0.32,1.96,3.9,2013
Monster Hunter Freedom 2,PSP,Capcom,Role-Playing,2.6,0.37,0.27,1.75,3.1,2007
Pok̩mon Colosseum,GC,Nintendo,Role-Playing,2.5,1.21,0.57,0.7,2.3,2004
Dark Souls III,PS4,Namco Bandai Games,Role-Playing,2.4,1,0.63,0.44,2.6,2016
Dragon Age: Inquisition,PS4,Electronic Arts,Role-Playing,2.3,1.07,0.8,0.08,4,2014
Paper Mario: The Thousand-Year Door,GC,Nintendo,Role-Playing,2.2,1.48,0.25,0.46,2.5,2004
Final Fantasy XIII    Read the review,X360,Square Enix,Role-Playing,2.2,1.3,0.67,0.01,3,2010
Pok̩mon Ranger,DS,Nintendo,Role-Playing,2.2,1.28,0.03,0.73,3.4,2006
Parasite Eve,PS,Square EA,Role-Playing,2.1,0.94,0.07,1.05,3.4,1998
Final Fantasy III,DS,Square Enix,Role-Playing,2.1,0.89,0.04,1.07,3.4,2006
Pok̩mon Mystery Dungeon: Red Rescue Team,GBA,Nintendo,Role-Playing,2.1,0.71,0.52,0.74,3.2,2006
Dragon Quest XI: Echoes of an Elusive Age,PS4,Square Enix,Role-Playing,2,0.29,0.22,1.43,2.4,2018
Kingdom Hearts 358/2 Days    Read the review,DS,Square Enix,Role-Playing,2,1.06,0.26,0.53,3.2,2009
The Legend of Dragoon,PS,Sony Computer Entertainment,Role-Playing,1.9,0.94,0.44,0.39,2.1,2000
Kingdom Hearts: Chain of Memories,GBA,Square Enix,Role-Playing,1.8,1.26,0.18,0.35,2.4,2004
Dragon Quest Monsters: Joker,DS,Square Enix,Role-Playing,1.8,0.23,0.03,1.49,2.6,2007
