Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Year
Ninja Gaiden,XB,Tecmo,Action,1.2,0.92,0.2,0.07,2.8,2004
Bayonetta    Read the review,PS3,Sega,Action,1.2,0.44,0.4,0.21,2.9,2010
Star Wars Episode 1: Jedi Power Battles,PS,LucasArts,Action,1.2,0.66,0.48,0.01,3.3,2000
Mad Max (2013),PS4,Warner Bros. Interactive Entertainment,Action,1.2,0.38,0.59,0.05,3.7,2015
LEGO Jurassic World,PS4,Warner Bros. Interactive Entertainment,Action,1.2,0.41,0.56,0.02,3.2,2015
One Piece Pirate Warriors    Read the review,PS3,Namco Bandai Games,Action,1.2,0.01,0.24,0.86,3.8,2012
Sunset Overdrive    Read the review,XOne,Microsoft Studios,Action,1.2,0.64,0.42,0,2.4,2014
Pok̩mon Rumble Blast    Read the review,3DS,Nintendo,Action,1.2,0.47,0.26,0.35,2.9,2011
Ninja Gaiden Sigma,PS3,Tecmo,Action,1.2,0.57,0.32,0.09,3.7,2007
Commando,NES,Capcom,Action,1.1,0.71,0.16,0.25,3.5,1986
LEGO Marvel Super Heroes 2,PS4,Warner Bros. Interactive Entertainment,Action,1.1,0.33,0.6,0,3.4,2017
Dante's Inferno    Read the review,PS3,Electronic Arts,Action,1.1,0.64,0.28,0.04,3,2010
Darksiders    Read the review,X360,THQ,Action,1.1,0.67,0.28,0.01,4,2010
The Evil Within 2,PS4,Bethesda Softworks,Action,1,0.31,0.49,0.09,2,2017
God of War: Ghost of Sparta    Read the review,PSP,Sony Computer Entertainment,Action,1,0.41,0.36,0.03,3.7,2010
Ninja Gaiden II,X360,Microsoft,Action,1,0.65,0.22,0.05,2.5,2008
The Bouncer,PS2,Square,Action,1,0.3,0.23,0.38,3.6,2001
Shinobi,PS2,Sega,Action,1,0.36,0.28,0.22,3.5,2002
Bully,PS2,Rockstar Games,Action,0.9,0.75,0.03,0.04,2.6,2006
Bayonetta    Read the review,X360,Sega,Action,0.9,0.51,0.25,0.09,3.5,2010
Dante's Inferno    Read the review,X360,Electronic Arts,Action,0.9,0.63,0.2,0.02,3.4,2010
Dynasty Warriors 7,PS3,Tecmo Koei,Action,0.9,0.25,0.14,0.46,2.4,2011
Resident Evil VII: Biohazard,XOne,Capcom,Action,0.9,0.51,0.3,0,2.3,2017
Star Wars: The Force Unleashed,DS,LucasArts,Action,0.9,0.5,0.29,0,2.5,2008
Dynasty Warriors 4: Xtreme Legends,PS2,KOEI,Action,0.9,0.17,0.13,0.51,2.2,2003
Ninja Gaiden Sigma 2    Read the review,PS3,Tecmo Koei,Action,0.8,0.52,0.16,0.08,2.9,2009
Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment,Action,0.8,0.49,0.25,0.02,2.3,2015
ARK: Survival Evolved,PS4,Studio Wildcard,Action,0.8,0.28,0.29,0.14,2.7,2017
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,Square Enix,Action,0.8,0.21,0.14,0.39,2.6,2015
Assassin's Creed The Ezio Collection,PS4,Ubisoft,Action,0.8,0.14,0.52,0.02,2,2016
MadWorld    Read the review,Wii,Sega,Action,0.8,0.45,0.24,0.02,3.8,2009
Resident Evil: Revelations,PS3,Capcom,Action,0.8,0.14,0.32,0.22,3.6,2013
Quantum Break,XOne,Microsoft Studios,Action,0.8,0.42,0.25,0.02,3.3,2016
Ace Combat: Assault Horizon    Read the review,PS3,Namco Bandai,Action,0.7,0.3,0.16,0.22,2.1,2011
Monster Hunter Generations Ultimate    Read the review,NS,Capcom,Action,0.7,0.27,0.14,0.27,3.4,2018
Dynasty Warriors 6,PS3,KOEI,Action,0.7,0.18,0.07,0.41,3.6,2008
James Bond 007: Blood Stone    Read the review,PS3,Activision,Action,0.7,0.18,0.37,0.02,3,2010
Diablo III: Eternal Collection    Read the review,NS,Blizzard Entertainment,Action,0.7,0.38,0.22,0.01,3.1,2018
LEGO Marvel Super Heroes 2,NS,Warner Bros. Interactive Entertainment,Action,0.7,0.31,0.29,0.01,2.9,2017
Gods Eater Burst,PSP,D3 Publisher,Action,0.7,0.03,0,0.62,2.8,2011
Sengoku Basara: Samurai Heroes,PS3,Capcom,Action,0.6,0.17,0.04,0.4,3.3,2010
Onimusha: Dawn of Dreams,PS2,Capcom,Action,0.6,0.15,0.12,0.34,3.9,2006
LEGO The Incredibles,NS,Warner Bros. Interactive Entertainment,Action,0.6,0.35,0.21,0.01,3.4,2018
Viewtiful Joe,GC,Capcom,Action,0.6,0.38,0.1,0.12,2.3,2003
Prince of Persia: The Forgotten Sands,X360,Ubisoft,Action,0.6,0.3,0.26,0,3,2010
Samurai Warriors 2,PS2,KOEI,Action,0.6,0.02,0.02,0.57,3.3,2006
Bayonetta 2,NS,Nintendo,Action,0.6,0.26,0.2,0.07,2.4,2018
Dynasty Warriors 5: Xtreme Legends,PS2,KOEI,Action,0.6,0.11,0.08,0.35,3.4,2005
God of War: Origins Collection,PS3,Sony Computer Entertainment,Action,0.6,0.39,0.08,0.02,4,2011
Resident Evil 2,N64,Capcom,Action,0.6,0.39,0.09,0.07,2.1,1999
Enslaved: Odyssey to the West,PS3,Namco Bandai,Action,0.6,0.24,0.23,0.01,2.2,2010
Metal Gear Solid 3: Subsistence,PS2,Konami,Action,0.6,0.34,0.01,0.15,2.7,2006
Silent Hill: Origins    Read the review,PSP,Konami,Action,0.5,0.22,0.16,0.04,2,2007
Metal Gear Solid 2: Substance,PS2,Konami,Action,0.5,0.18,0.14,0.16,3.2,2003
Way of the Samurai 3,PS3,Agetec,Action,0.5,0.18,0.08,0.22,2.1,2009
Way of the Samurai,PS2,BAM! Entertainment,Action,0.5,0.13,0.1,0.25,2.7,2002
Dynasty Warriors,PSP,Tecmo Koei,Action,0.5,0.18,0,0.3,2.9,2005
Fire Emblem Warriors,NS,Nintendo,Action,0.5,0.22,0.14,0.1,2.5,2017
Spider-Man 2,DS,Activision,Action,0.5,0.41,0.02,0.03,2.5,2004
Red Dead Redemption 2    Read the review,PS4,Rockstar Games,Action-Adventure,13.9,5.26,6.21,0.21,9.5,2018
Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,8.8,3.64,3.39,0.32,9.1,2018
Assassin's Creed III    Read the review,PS3,Ubisoft,Action-Adventure,6.5,2.65,2.61,0.16,7.4,2012
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Action-Adventure,5.8,2.2,2.43,0.28,5.1,2017
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,Action-Adventure,5.3,2.5,1.8,0.65,4.6,2011
Watch Dogs    Read the review,PS4,Ubisoft,Action-Adventure,4.3,1.4,2.13,0.11,3.4,2014
Assassin's Creed IV: Black Flag,X360,Ubisoft,Action-Adventure,3.3,1.9,1.14,0.01,4,2013
Assassin's Creed Odyssey,PS4,Ubisoft,Action-Adventure,3.2,1.18,1.4,0.09,2.9,2018
Mafia III,PS4,2K Games,Action-Adventure,2.9,0.72,1.67,0.04,3.8,2016
The Legend of Zelda: Majora's Mask 3D    Read the review,3DS,Nintendo,Action-Adventure,2.5,1.2,0.64,0.48,3.2,2015
Batman: Arkham Origins    Read the review,PS3,Warner Bros. Interactive Entertainment,Action-Adventure,2.4,1.08,0.88,0.04,4,2013
The Legend of Zelda: The Wind Waker    Read the review,WiiU,Nintendo,Action-Adventure,2.1,1.04,0.73,0.15,2.3,2013
Batman: Arkham Origins,X360,Warner Bros. Interactive Entertainment,Action-Adventure,1.9,1.15,0.58,0,2.5,2013
Shadow of the Tomb Raider,PS4,Square Enix,Action-Adventure,1.7,0.59,0.82,0.06,3.7,2018
The Legend of Zelda: Breath of the Wild,WiiU,Nintendo,Action-Adventure,1.3,0.66,0.42,0.15,3.6,2017
Lego Star Wars: The Force Awakens,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,1.3,0.3,0.78,0.02,3.6,2016
Watch Dogs,X360,Ubisoft,Action-Adventure,1.3,0.73,0.44,0.01,2.3,2014
Shadow of the Colossus    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,1.2,0.44,0.52,0.05,3.9,2018
Tom Clancy's Splinter Cell: Blacklist,PS3,Ubisoft,Action-Adventure,1,0.34,0.44,0.06,2.3,2013
Sleeping Dogs    Read the review,X360,Square Enix,Action-Adventure,0.9,0.38,0.4,0.01,3.3,2012
The LEGO Movie Videogame,3DS,Warner Bros. Interactive Entertainment,Action-Adventure,0.7,0.28,0.33,0.05,3.5,2014
The LEGO Movie Videogame,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,0.7,0.26,0.32,0.01,3.4,2014
Gravity Rush    Read the review,PSV,Sony Computer Entertainment,Action-Adventure,0.6,0.21,0.2,0.09,3.2,2012
The Amazing Spider-Man 2 (2014),PS4,Activision,Action-Adventure,0.6,0.2,0.26,0.02,3.3,2014
Just Cause 4,PS4,Square Enix,Action-Adventure,0.6,0.18,0.26,0.03,2.7,2018
Red Dead Redemption 2    Read the review,PS4,Rockstar Games,Action-Adventure,13.9,5.26,6.21,0.21,3.3,2018
Marvel's Spider-Man    Read the review,PS4,Sony Interactive Entertainment,Action-Adventure,8.8,3.64,3.39,0.32,9.3,2018
Assassin's Creed III    Read the review,PS3,Ubisoft,Action-Adventure,6.5,2.65,2.61,0.16,7.6,2012
Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Action-Adventure,5.8,2.2,2.43,0.28,4.3,2017
The Legend of Zelda: Ocarina of Time 3D,3DS,Nintendo,Action-Adventure,5.3,2.5,1.8,0.65,4,2011
Watch Dogs    Read the review,PS4,Ubisoft,Action-Adventure,4.3,1.4,2.13,0.11,4.6,2014
Assassin's Creed IV: Black Flag,X360,Ubisoft,Action-Adventure,3.3,1.9,1.14,0.01,2.3,2013
Assassin's Creed Odyssey,PS4,Ubisoft,Action-Adventure,3.2,1.18,1.4,0.09,3.1,2018
Mafia III,PS4,2K Games,Action-Adventure,2.9,0.72,1.67,0.04,2.7,2016
