,Total Sales actual,Total Sales predicted
2374,1.5,2.4
1123,1.1,3.4
1002,2.9,0.1
2229,0.5,2.8
1822,1.2,0.8
2363,1.8,1.6
2166,2.8,2.0
671,1.2,1.9
2810,0.5,2.2
2201,1.9,0.4
1331,1.3,1.6
2177,1.4,1.2
1792,2.1,2.0
2883,1.6,3.0
2144,0.7,2.2
1031,1.4,1.2
2815,0.5,0.5
3049,1.0,2.6
2387,1.1,2.3
581,1.0,0.9
1111,1.3,2.8
1140,0.8,0.6
1835,1.0,1.1
85,10.3,12.0
272,1.0,2.3
282,5.1,6.0
1414,0.7,2.1
223,0.5,2.6
831,11.0,12.1
125,2.6,2.3
2513,1.1,1.0
2220,0.7,1.1
42,2.8,2.6
3130,2.6,1.1
1897,1.2,-0.6
1817,1.3,2.1
2086,4.2,5.3
2463,0.5,2.8
2968,1.4,0.6
479,0.9,-0.0
3193,2.2,1.0
731,1.6,2.6
51,2.3,2.0
2304,1.2,0.8
1616,0.8,0.1
2925,3.3,2.2
757,0.8,2.3
1407,0.9,2.6
1552,2.9,4.0
2988,1.0,2.2
1403,1.0,0.8
2502,1.4,1.7
2163,3.8,1.4
2851,3.1,1.0
656,1.8,4.4
2699,3.4,1.3
1539,3.9,2.1
1745,6.6,6.2
2965,1.5,2.8
1965,1.1,1.6
1284,3.9,1.1
2612,5.5,2.4
2485,2.4,3.0
1112,1.2,1.8
2286,1.8,4.5
645,2.3,1.4
661,1.6,2.4
2003,1.2,2.6
484,0.8,0.2
1117,1.2,1.9
603,2.0,0.3
1044,1.2,2.4
2310,1.1,1.2
2285,1.8,2.0
646,2.3,2.0
1195,9.4,12.8
1432,2.0,2.0
914,2.5,1.2
2713,2.2,3.4
361,1.1,0.8
2411,0.6,1.1
2788,0.7,3.3
2737,1.4,3.1
1418,0.6,3.4
2027,3.0,2.3
2839,4.4,2.3
3001,0.8,1.9
1132,0.9,2.9
793,0.9,1.4
740,1.3,1.3
371,0.7,0.4
1735,1.5,3.8
4,10.3,14.2
1064,5.1,4.9
2322,10.3,15.3
2867,2.2,-0.1
270,1.3,1.8
1097,1.6,2.8
926,2.0,1.4
1588,1.4,3.7
1912,5.3,1.8
3028,0.5,2.2
789,1.2,2.7
431,0.8,0.3
79,1.4,1.6
1851,0.8,2.2
2206,1.5,1.4
1134,0.9,2.0
1632,0.5,1.8
2856,2.9,3.1
64,1.8,3.1
1555,2.6,1.8
3279,0.8,2.8
1296,2.9,2.5
2669,1.2,-0.1
5,7.7,12.6
1917,2.4,0.9
1558,2.4,4.1
1679,5.5,3.3
1542,3.7,2.8
2861,2.5,0.2
3273,2.7,2.3
1604,1.0,1.9
3036,1.9,2.1
3129,2.6,0.5
1224,3.1,1.4
1643,1.2,3.6
774,30.3,14.0
1035,1.3,2.5
2056,1.3,2.9
963,0.8,2.2
1904,0.8,1.8
3191,2.3,2.9
1713,2.2,0.7
692,5.5,2.9
1592,1.2,2.3
2565,1.1,2.0
2247,7.5,7.1
1356,0.9,2.3
1050,18.2,12.1
2428,1.2,1.9
1184,0.5,3.4
2327,5.8,5.6
612,11.9,13.9
1536,4.2,3.6
2167,2.5,2.4
2487,2.1,2.3
1095,1.7,1.9
2570,1.0,2.4
1243,1.7,0.3
2986,1.1,4.0
964,0.7,1.0
119,3.1,0.5
65,1.8,1.9
3192,2.2,0.9
1405,0.9,2.9
1299,2.8,3.0
1218,3.6,3.4
2950,1.8,0.3
1212,4.2,1.3
1626,0.6,0.2
204,0.7,2.3
274,0.7,0.3
2692,5.1,3.5
1301,2.6,2.8
980,15.2,14.0
1937,5.4,6.1
1579,1.6,3.1
599,1.9,1.5
2024,3.4,3.2
1852,0.8,2.0
519,3.4,1.4
1279,4.3,1.0
2452,1.2,1.9
3269,0.7,1.8
2074,0.8,3.4
1220,3.5,3.5
3179,3.1,0.2
1991,2.1,2.8
2551,1.7,0.3
1270,7.0,8.3
174,1.2,2.1
1480,3.7,2.1
1103,1.4,2.5
1983,3.4,3.4
2354,2.1,0.8
2611,6.0,4.9
590,0.6,-0.6
1870,0.6,1.7
2145,0.7,2.1
1664,0.6,1.9
1763,3.7,3.4
551,5.3,4.2
503,0.5,0.0
2126,1.1,3.3
1709,2.5,3.1
2957,1.6,2.1
715,2.3,1.6
1338,1.2,2.1
2829,7.2,6.8
2750,1.2,1.1
466,1.3,3.3
1976,7.2,2.7
970,0.6,1.7
2421,2.1,0.9
1080,2.2,1.9
1167,0.6,2.7
142,1.9,3.7
739,1.3,1.5
2625,3.1,0.2
290,2.7,2.8
2404,0.7,0.1
1119,1.1,1.7
3143,1.9,3.5
454,1.8,-0.0
2588,0.7,1.2
3043,1.4,3.0
629,4.2,1.0
1004,2.6,3.1
3102,6.6,0.1
1544,3.5,1.1
3095,0.5,0.3
1543,3.6,2.6
2755,1.0,2.9
1409,0.8,0.8
3222,1.2,1.1
2522,10.8,13.7
840,4.0,-0.0
2049,1.5,-0.2
2936,2.5,2.2
1257,14.8,14.7
1954,1.9,1.3
1823,1.2,1.1
1275,5.0,3.0
3190,2.3,2.0
1891,2.3,1.4
2400,0.9,0.4
3146,1.7,1.8
364,1.0,0.1
1217,3.6,2.1
2030,2.8,0.9
807,2.2,1.6
2340,3.1,1.2
1550,3.0,1.8
1581,1.6,4.2
634,3.4,0.9
638,2.9,2.1
2836,5.1,3.7
876,1.4,1.7
1324,1.5,2.0
496,0.6,1.5
746,1.2,2.5
2941,2.2,3.2
2462,0.6,2.3
654,1.8,0.3
3228,1.0,1.1
2558,1.3,1.9
1329,1.4,0.7
536,1.2,1.2
686,9.3,13.9
298,1.6,0.2
1274,5.1,6.1
703,3.5,4.4
2722,1.8,0.8
531,1.9,2.6
180,1.1,2.4
1387,3.2,0.3
2983,1.2,3.4
1640,3.7,3.4
2390,1.1,3.4
3225,1.1,2.0
319,0.8,-0.1
2878,1.7,3.5
1109,1.3,2.5
2854,3.0,3.9
1707,2.6,1.1
2539,2.4,0.7
145,1.8,1.6
1554,2.6,1.3
653,1.9,1.2
1624,0.6,0.9
257,5.8,3.2
1551,2.9,1.6
63,1.9,1.2
1216,3.6,2.9
557,3.5,1.0
2540,2.4,1.1
2609,6.5,8.9
758,0.8,3.4
2193,3.8,0.1
1334,1.3,2.5
430,0.8,2.5
2293,1.6,2.1
27,3.6,3.4
2125,1.2,3.6
2483,2.5,0.9
2857,2.8,1.3
2237,3.2,0.5
3139,2.1,3.4
608,1.0,0.6
473,1.1,1.1
43,2.7,2.0
2288,1.7,2.7
2063,1.1,1.4
1470,4.9,3.9
524,2.5,-0.7
3170,4.0,0.5
1019,1.8,4.2
2215,0.9,0.0
1027,1.5,1.1
261,3.2,1.2
265,2.1,0.1
1249,1.6,3.0
2205,1.6,2.0
1290,3.4,0.2
835,6.9,6.1
3008,0.8,0.4
1532,4.6,2.4
1753,5.0,5.5
1425,3.6,3.5
2122,1.3,2.5
2500,1.4,2.7
800,0.5,2.1
3149,1.6,3.9
1608,0.9,0.6
1107,1.3,2.0
1460,0.5,2.4
2980,1.2,1.0
1610,0.8,0.5
58,2.0,4.0
246,1.2,2.4
916,2.4,1.3
1377,0.5,0.4
3199,1.9,2.8
1826,1.1,2.4
446,3.0,0.5
3278,0.8,1.8
2379,1.3,2.4
1764,3.6,4.0
40,3.0,2.6
252,0.6,1.6
1671,8.7,11.4
1473,4.4,0.4
1037,1.3,2.2
372,0.7,-0.3
1505,2.1,1.6
803,4.8,2.7
3067,3.6,0.1
827,0.5,3.0
811,1.5,-0.4
2307,1.2,3.1
880,1.3,2.8
1625,0.6,1.7
193,0.9,0.8
1932,0.7,1.9
2534,2.9,1.7
2533,2.9,1.6
2686,6.4,5.3
913,2.5,1.1
502,0.5,2.0
1273,6.1,4.7
571,1.9,0.3
373,0.6,0.3
337,3.3,4.1
1784,2.4,2.6
1178,0.5,0.1
1595,1.1,-0.5
3013,0.7,0.2
1693,3.6,2.0
1352,1.0,2.1
1305,2.2,2.4
1384,4.2,4.4
2830,6.8,9.0
1540,3.9,2.9
823,0.6,0.7
418,1.1,1.5
2964,1.5,2.3
2711,2.3,2.7
1526,8.0,10.4
2848,3.5,2.2
2865,2.3,0.7
1152,0.7,1.3
1172,0.6,0.1
369,0.8,0.1
139,2.0,3.6
1282,4.1,1.6
2319,11.7,15.2
2599,0.5,2.4
320,0.7,1.7
2120,1.3,3.1
2683,8.0,10.9
637,3.0,1.8
3040,1.6,1.6
1810,1.4,3.1
1236,2.2,1.1
1256,28.3,15.4
1757,4.5,2.8
2429,1.2,-0.3
