Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
ARK: Survival Evolved,XOne,Studio Wildcard,Action-Adventure,0.46,0.3,0.12,,,29-אוג-17,2017
LEGO DC Super-Villains,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,0.46,0.22,0.17,,,16-אוק-18,2018
ARK: Survival Evolved,XOne,Studio Wildcard,Action-Adventure,0.46,0.3,0.12,,,29-אוג-17,2017
LEGO DC Super-Villains,PS4,Warner Bros. Interactive Entertainment,Action-Adventure,0.46,0.22,0.17,,,16-אוק-18,2018
Harry Potter and the Order of the Phoenix,Wii,Electronic Arts,Adventure,0.46,0.38,0.05,,,25-יונ-07,2007
Minecraft: Story Mode - The Complete Adventure,NS,Telltale Games,Adventure,0.46,0.27,0.15,,,22nd Aug 17,2017
Dragon Ball Z: Sagas,PS2,Atari,Fighting,0.46,0.38,0.01,,,22nd Mar 05,2005
Bloody Roar II,PS,Sony Computer Entertainment,Fighting,0.46,0.25,0.17,,,30-אפר-99,1999
Dragon Ball Z: Collectible Card Game,GBA,Infogrames,Misc,0.46,0.33,0.12,,,29-מאי-02,2002
Jampack Winter 2003 (RP-M),PS2,Sony Computer Entertainment,Misc,0.46,0.22,0.18,,,15-אוק-03,2003
Country Dance 2,Wii,GameMill,Misc,0.46,0.43,,,,01-נוב-11,2011
Double Dragon,2600,Activision,Action,0.47,0.45,0.02,,,23rd Jul 89,1989
The Godfather (JP sales),PS2,Electronic Arts,Action,0.47,0.39,0.02,,,21-מרץ-06,2006
Gauntlet Legends,PS,Midway Games,Action,0.47,0.26,0.18,,,29-פבר-00,2000
Commando,2600,Activision,Action,0.47,0.44,0.02,,,01-ינו-88,1988
FlingSmash,Wii,Nintendo,Action,0.47,0.37,0.01,0.07,,07-נוב-10,2010
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,Square Enix,Action,0.47,0.05,0.09,0.3,,25-אפר-17,2017
Spider-Man: Friend or Foe,DS,Activision,Action,0.47,0.43,0,,,02nd Oct 07,2007
Kong: The 8th Wonder of the World,GBA,Ubisoft,Action,0.47,0.33,0.12,,,21-נוב-05,2005
Luigi's Mansion,3DS,Nintendo,Adventure,0.47,0.19,0.16,0.09,,12-אוק-18,2018
Silent Hill: Downpour,PS3,Konami,Adventure,0.47,0.21,0.16,0.04,,13-מרץ-12,2012
Silent Hill: Shattered Memories    Read the review,Wii,Konami,Adventure,0.47,0.22,0.19,0.01,8.9,08-דצמ-09,2009
Pirates of the Caribbean: Dead Man's Chest,GBA,Buena Vista,Adventure,0.47,0.33,0.12,,,27-יונ-06,2006
Karate,2600,Unknown,Fighting,0.47,0.44,0.03,,,01-ינו-80,1980
Victorious Boxers: Ippo's Road to Glory,PS2,Empire Interactive,Fighting,0.47,0.05,0.04,0.38,,05-נוב-01,2001
Godzilla: Save the Earth,PS2,Atari,Fighting,0.47,0.23,0.18,,,02nd Nov 04,2004
Momotarou Dentetsu V,PS,Hudson Entertainment,Misc,0.47,,,0.44,,16-דצמ-99,1999
Super Momotarou Dentetsu DX,SNES,Hudson Soft,Misc,0.47,,,0.47,,08-דצמ-95,1995
World of Warcraft: Warlords of Draenor,PC,Activision Blizzard,MMO,0.47,0.08,0.36,,,13-נוב-14,2014
Just Dance 2014,PS4,Ubisoft,Music,0.47,0.21,0.18,,,15-נוב-13,2013
Madagascar: Operation Penguin,GBA,Activision,Action,0.48,0.35,0.13,,,07-נוב-05,2005
Lollipop Chainsaw,X360,Warner Bros. Interactive Entertainment,Action,0.48,0.31,0.12,0.02,,12-יונ-12,2012
A Way Out,PS4,Electronic Arts,Action,0.48,0.23,0.16,,,23rd Mar 18,2018
Crash of the Titans,DS,Sierra Entertainment,Action,0.48,0.42,0.02,,,25-אוק-07,2007
Thief,XOne,Square Enix,Action,0.48,0.26,0.17,,,25-פבר-14,2014
Batman: Arkham Origins Blackgate    Read the review,PSV,Warner Bros. Interactive Entertainment,Action-Adventure,0.48,0.16,0.21,,7.6,25-אוק-13,2013
Batman: Arkham Origins Blackgate    Read the review,PSV,Warner Bros. Interactive Entertainment,Action-Adventure,0.48,0.16,0.21,,7.6,25-אוק-13,2013
Ultimate I Spy,Wii,Scholastic Inc.,Adventure,0.48,0.45,0,,,29-אוק-08,2008
Destroy All Humans! 2,PS2,THQ,Adventure,0.48,0.4,0.02,,,17-אוק-06,2006
Alice in Wonderland,DS,Disney Interactive Studios,Adventure,0.48,0.25,0.18,,,02nd Mar 10,2010
WWE 2K19,XOne,2K Sports,Fighting,0.48,0.3,0.14,,,09-אוק-18,2018
Wu-Tang: Shaolin Style,PS,Activision,Fighting,0.48,0.27,0.18,,,31-אוק-99,1999
Pinball Hall of Fame: The Williams Collection,Wii,Crave Entertainment,Misc,0.48,0.42,0.03,,,26-פבר-08,2008
Fortune Street,Wii,Nintendo,Misc,0.48,0.25,0.03,0.17,,05-דצמ-11,2011
Rayman Raving Rabbids: TV Party,DS,Ubisoft,Misc,0.48,0.44,0.01,,,18-נוב-08,2008
Dynasty Warriors: Gundam 2    Read the review,PS3,Namco Bandai,Action,0.49,0.09,0.07,0.32,6.4,21-אפר-09,2009
The Matrix: Path of Neo,PS2,Atari,Action,0.49,0.41,0.01,,,07-נוב-05,2005
Transformers: Revenge of the Fallen,PS2,Activision,Action,0.49,0.25,0.01,,,23rd Jun 09,2009
Hyrule Warriors Legends,3DS,Nintendo,Action,0.49,0.17,0.16,0.12,,25-מרץ-16,2016
Scarface: The World is Yours,XB,Sierra Entertainment,Adventure,0.49,0.37,0.11,,,08-אוק-06,2006
WWE Wrestlemania X8,GC,THQ,Fighting,0.49,0.38,0.1,,,09-יונ-02,2002
Dragon Ball Z: Burst Limit,X360,Atari,Fighting,0.49,0.24,0.18,0.03,,10-יונ-08,2008
Boogie,Wii,Electronic Arts,Misc,0.49,0.43,0.03,,,07-אוג-07,2007
Middle-Earth: Shadow of Mordor,X360,Warner Bros. Interactive Entertainment,Misc,0.49,0.28,0.16,,,18-נוב-14,2014
Taiko no Tatsujin: Appare Sandaime,PS2,Namco,Misc,0.49,,,0.49,,30-אוק-03,2003
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,Hudson Soft,Misc,0.49,,,0.49,,13-דצמ-01,2001
Animal Crossing: Amiibo Festival,WiiU,Nintendo,Party,0.49,0.23,0.12,0.1,,13-נוב-15,2015
Bully: Scholarship Edition,Wii,Rockstar Games,Action,0.5,0.17,0.28,,,04-מרץ-08,2008
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,Square Enix,Action,0.5,,,0.5,,26-פבר-15,2015
Lost: Via Domus    Read the review,PS3,Ubisoft,Action,0.5,0.19,0.23,,3.5,26-פבר-08,2008
Transformers: War for Cybertron    Read the review,PS3,Activision,Action,0.5,0.24,0.18,,7.5,22nd Jun 10,2010
Rugrats in Paris: The Movie,N64,THQ,Action,0.5,0.4,0.09,,,12-נוב-00,2000
Mad Max (2013),XOne,Warner Bros. Interactive Entertainment,Action,0.5,0.29,0.16,,,01-ספט-15,2015
Shrek SuperSlam,PS2,Activision,Action,0.5,0.24,0.19,,,25-אוק-05,2005
Spider-Man 2,DS,Activision,Action,0.5,0.41,0.02,0.03,,16-נוב-04,2004
Fantastic 4,PS2,Activision,Action,0.5,0.41,0.01,,,27-יונ-05,2005
Gauntlet,2600,Answer Software,Action,0.5,0.46,0.03,,,01-ינו-83,1983
Lego Star Wars: The Force Awakens,XOne,Warner Bros. Interactive Entertainment,Action-Adventure,0.5,0.24,0.22,,,28-יונ-16,2016
Lego Star Wars: The Force Awakens,XOne,Warner Bros. Interactive Entertainment,Action-Adventure,0.5,0.24,0.22,,,28-יונ-16,2016
Rooms: The Main Building,DS,Hudson Soft,Adventure,0.5,0.1,0.35,0.01,,23rd Mar 10,2010
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,THQ,Adventure,0.5,0.24,0.19,,,13-ספט-04,2004
WWE SmackDown vs. RAW 2007,X360,THQ,Fighting,0.5,0.44,0.03,,,14-נוב-06,2006
Dead or Alive Ultimate,XB,Tecmo,Fighting,0.5,0.3,0.1,0.08,,26-אוק-04,2004
Blue's Clues: Blue's Big Musical,PS,THQ,Misc,0.5,0.28,0.19,,,24-אוג-01,2001
Activision Anthology,PS2,Activision,Misc,0.5,0.25,0.19,,,25-נוב-02,2002
Way of the Samurai,PS2,BAM! Entertainment,Action,0.51,0.13,0.1,0.25,,31-מאי-02,2002
Dishonored    Read the review,PC,Bethesda Softworks,Action,0.51,0.27,0.19,,9.1,16-אפר-13,2013
Lego Batman 3: Beyond Gotham,3DS,Warner Bros. Interactive Entertainment,Action,0.51,0.21,0.26,,,11-נוב-14,2014
Dynasty Warriors,PSP,Tecmo Koei,Action,0.51,0.18,0,0.3,,17-מרץ-05,2005
Fire Emblem Warriors,NS,Nintendo,Action,0.51,0.22,0.14,0.1,,20-אוק-17,2017
Alice in Wonderland,Wii,Disney Interactive Studios,Adventure,0.51,0.25,0.21,,,02nd Mar 10,2010
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,Activision,Adventure,0.51,0.12,0.33,,,03rd Nov 09,2009
Naruto Shippuden: Clash of Ninja Revolution III,Wii,Takara Tomy,Fighting,0.51,0.44,0.04,,,17-נוב-09,2009
Dragon Ball: Raging Blast    Read the review,X360,Namco Bandai,Fighting,0.51,0.36,0.08,0.02,6.5,10-נוב-09,2009
Jam With the Band,DS,Nintendo,Misc,0.51,,0,0.51,,21-מאי-10,2010
Rugrats: Scavenger Hunt,N64,THQ,Misc,0.51,0.41,0.09,,,29-יונ-99,1999
Theatrhythm: Final Fantasy    Read the review,3DS,Square Enix,Misc,0.51,0.22,0.07,0.18,8.5,03rd Jul 12,2012
Cars Toon: Mater's Tall Tales,Wii,Disney Interactive Studios,Misc,0.51,0.45,0.02,,,19-אוק-10,2010
Monopoly Party,PS2,Infogrames,Misc,0.51,0.25,0.19,,,11-נוב-02,2002
DC Universe Online,PS3,Sony Online Entertainment,MMO,0.51,0.35,0.11,,,11-ינו-11,2011
Silent Hill: Origins    Read the review,PSP,Konami,Action,0.52,0.22,0.16,0.04,7.4,06-נוב-07,2007
Metal Gear Solid 2: Substance,PS2,Konami,Action,0.52,0.18,0.14,0.16,,03rd Mar 03,2003
Mission: Impossible,PS,Atari,Action,0.52,0.29,0.2,,,23rd Nov 99,1999
Way of the Samurai 3,PS3,Agetec,Action,0.52,0.18,0.08,0.22,,13-אוק-09,2009
Metal Gear Solid HD Collection,PS3,Konami,Action,0.52,0.32,0.13,,,08-נוב-11,2011
The Golden Compass,PS2,Sega,Adventure,0.52,0.13,0,,,04-דצמ-07,2007
That's So Raven 2: Supernatural Style,GBA,Buena Vista,Adventure,0.52,0.37,0.14,,,21-אוג-05,2005
Sesame Street: Once Upon A Monster    Read the review,X360,Warner Bros. Interactive,Education,0.52,0.39,0.09,,7.8,11-אוק-11,2011
Dragon Ball FighterZ,XOne,Namco Bandai Games,Fighting,0.52,0.38,0.09,,,26-ינו-18,2018
Naruto Shippuden: Ultimate Ninja Storm 3,X360,Namco Bandai Games,Fighting,0.52,0.3,0.17,0.01,,05-מרץ-13,2013
Rival Schools: United By Fate,PS,Capcom,Fighting,0.52,0.12,0.08,0.28,,30-ספט-98,1998
SingStar Dance,PS3,Sony Computer Entertainment,Misc,0.52,0.09,0.32,,,09-נוב-10,2010
Jampack Winter 2002,PS2,Sony Computer Entertainment,Misc,0.52,0.25,0.2,,,17-אוק-02,2002
Disney Infinity 3.0,X360,Disney Interactive Studios,Action,0.53,0.3,0.19,,,30-אוג-15,2015
Peter Jackson's King Kong: The Official Game of the Movie,XB,Ubisoft,Action,0.53,0.34,0.17,,,21-נוב-05,2005
The Lord of the Rings: The Fellowship of the Ring,XB,Black Label Games,Action,0.53,0.31,0.19,,,26-ספט-02,2002
How to Train Your Dragon,DS,Activision,Action,0.53,0.31,0.17,,,23rd Mar 10,2010
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,THQ,Action,0.53,0.49,0,,,20-אוק-08,2008
The Lord of the Rings: The Two Towers,GC,Electronic Arts,Action,0.53,0.41,0.11,,,30-דצמ-02,2002
Clock Tower,PS,ASCII Entertainment,Adventure,0.53,0.07,0.05,0.38,,30-ספט-97,1997
Clock Tower,PS,ASCII Entertainment,Adventure,0.53,0.07,0.05,0.38,,30-ספט-97,1997
Phoenix Wright: Ace Attorney - Justice for All,DS,Capcom,Adventure,0.53,0.21,0.04,0.26,,16-ינו-07,2007
WWE SmackDown vs. Raw 2010,DS,THQ,Fighting,0.53,0.35,0.13,,,20-אוק-09,2009
SpongeBob SquarePants: Game Boy Advance Video Volume 2,GBA,Majesco,Misc,0.53,0.38,0.14,,,14-מאי-04,2004
Jampack Vol. 2,PS,Sony Computer Entertainment,Misc,0.53,0.3,0.2,,,01-ינו-97,1997
Are You Smarter than a 5th Grader?,DS,THQ,Misc,0.53,0.48,0,,,12-נוב-07,2007
Iron Man,PS2,Sega,Action,0.54,0.36,0,,,02nd May 08,2008
Assassin's Creed II,PC,Ubisoft,Action,0.54,0.01,0.45,,,09-מרץ-10,2010
Action Force,2600,CPG Products,Action,0.54,0.5,0.03,,,01-ינו-83,1983
Harry Potter and the Deathly Hallows - Part 1,Wii,Electronic Arts,Action,0.54,0.22,0.27,,,09-נוב-10,2010
The Incredible Hulk: Ultimate Destruction,PS2,VU Games,Action,0.54,0.26,0.2,,,23rd Aug 05,2005
Hotel Dusk: Room 215,DS,Nintendo,Adventure,0.54,0.26,0.04,0.22,,22nd Jan 07,2007
The Hobbit,PS2,Sierra Entertainment,Adventure,0.54,0.26,0.2,,,11-נוב-03,2003
Hotel Dusk: Room 215,DS,Nintendo,Adventure,0.54,0.26,0.04,0.22,,22nd Jan 07,2007
The Hobbit,PS2,Sierra Entertainment,Adventure,0.54,0.26,0.2,,,11-נוב-03,2003
Dragon Ball Z: Shin Budokai,PSP,Atari,Fighting,0.54,0.26,0.08,0.13,,07-מרץ-06,2006
Def Jam: Fight for NY,XB,Electronic Arts,Fighting,0.54,0.43,0.1,,,20-ספט-04,2004
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,Capcom,Fighting,0.54,0.3,0.16,0.03,,26-ינו-10,2010
Are You Smarter than a 5th Grader? Make the Grade,Wii,THQ,Misc,0.54,0.5,,,,20-אוק-08,2008
Bust A Groove,PS,989 Studios,Misc,0.54,0.09,0.06,0.35,,31-אוק-98,1998
Tales of Symphonia Chronicles    Read the review,PS3,Namco Bandai Games,Misc,0.54,0.21,0.13,0.13,8.3,25-פבר-14,2014
50 Classic Games,DS,Destineer,Misc,0.54,0.5,,,,21-יול-09,2009
Just Dance 2015,XOne,Ubisoft,Music,0.54,0.36,0.13,,,21-אוק-14,2014
Metal Gear Solid 3: Subsistence,PS2,Konami,Action,0.55,0.34,0.01,0.15,,14-מרץ-06,2006
Fighting Force 2,PS,Eidos Interactive,Action,0.55,0.31,0.21,,,30-נוב-99,1999
Madagascar: Escape 2 Africa,Wii,Activision,Action,0.55,0.31,0.18,,,04-נוב-08,2008
Super Robot Taisen F,SAT,Banpresto,Action,0.55,,,0.55,,25-ספט-97,1997
Disney Infinity 3.0,WiiU,Disney Interactive Studios,Action,0.55,0.27,0.23,,,30-אוג-15,2015
Skylanders: SuperChargers,X360,Activision,Action-Adventure,0.55,0.35,0.15,,,20-ספט-15,2015
Skylanders: SuperChargers,X360,Activision,Action-Adventure,0.55,0.35,0.15,,,20-ספט-15,2015
Sakura Wars,SAT,Sega,Adventure,0.55,,,0.55,,27-ספט-96,1996
Sakura Wars,SAT,Sega,Adventure,0.55,,,0.55,,27-ספט-96,1996
Jump Super Stars,DS,Nintendo,Fighting,0.55,,,0.55,,08-אוג-05,2005
Legends of WrestleMania    Read the review,PS3,THQ,Fighting,0.55,0.3,0.17,0,7,24-מרץ-09,2009
Grease,Wii,505 Games,Misc,0.55,0.26,0.24,,,24-אוג-10,2010
Top Gun: Fire at Will!,PS,Spectrum Holobyte,Misc,0.55,0.3,0.21,,,01-יונ-96,1996
True Crime: Streets of LA,GC,Activision,Action,0.56,0.44,0.11,,,03rd Nov 03,2003
Army Men: Sarge's Heroes,PS,3DO,Action,0.56,0.31,0.21,,,01-ינו-00,2000
Resident Evil 2,N64,Capcom,Action,0.56,0.39,0.09,0.07,,31-אוק-99,1999
Assassin's Creed: Unity,PC,Ubisoft,Action,0.56,0.2,0.31,,,11-נוב-14,2014
Enslaved: Odyssey to the West,PS3,Namco Bandai,Action,0.56,0.24,0.23,0.01,,05-אוק-10,2010
The Amazing Spider-Man 2 (2014),PS4,Activision,Action-Adventure,0.56,0.2,0.26,0.02,,29-אפר-14,2014
Just Cause 4,PS4,Square Enix,Action-Adventure,0.56,0.18,0.26,0.03,,04-דצמ-18,2018
The Amazing Spider-Man 2 (2014),PS4,Activision,Action-Adventure,0.56,0.2,0.26,0.02,,29-אפר-14,2014
Just Cause 4,PS4,Square Enix,Action-Adventure,0.56,0.18,0.26,0.03,,04-דצמ-18,2018
Dr. Seuss' The Cat in the Hat,PS2,VU Games,Adventure,0.56,0.27,0.21,,,05-נוב-03,2003
Dr. Seuss' The Cat in the Hat,PS2,VU Games,Adventure,0.56,0.27,0.21,,,05-נוב-03,2003
Knockout Kings 2001,PS2,EA Sports,Fighting,0.56,0.28,0.21,,,05-פבר-01,2001
Fatal Fury Special,SNES,Takara,Fighting,0.56,,,0.56,,01-אפר-95,1995
Soul Sacrifice,PSV,Sony Computer Entertainment,Misc,0.56,0.15,0.11,0.22,,30-אפר-13,2013
Harry Potter Collection,PS2,Electronic Arts,Misc,0.56,0.28,0.21,,,23rd Oct 07,2007
Barbie Groovy Games,GBA,Universal Interactive,Misc,0.56,0.4,0.15,,,04-ספט-02,2002
The Lego Ninjago Movie Videogame,PS4,Warner Bros. Interactive Entertainment,Action,0.57,0.16,0.32,,,22nd Sep 17,2017
Tomb Raider: Anniversary,PSP,Eidos Interactive,Action,0.57,0.21,0.23,,,09-אוג-07,2007
Bayonetta 2,NS,Nintendo,Action,0.57,0.26,0.2,0.07,,16-פבר-18,2018
Lego Marvel Super Heroes: Universe in Peril,PSV,Warner Bros. Interactive Entertainment,Action,0.57,0.11,0.33,,,01-ינו-14,2014
Ben 10: Alien Force,PS2,D3 Publisher,Action,0.57,0.22,0.02,,,28-אוק-08,2008
Nazo no Murasame-Jou (FDS),NES,Nintendo,Action,0.57,,,0.57,,14-אפר-86,1986
Dynasty Warriors 5: Xtreme Legends,PS2,KOEI,Action,0.57,0.11,0.08,0.35,,16-נוב-05,2005
God of War: Origins Collection,PS3,Sony Computer Entertainment,Action,0.57,0.39,0.08,0.02,,13-ספט-11,2011
Bob the Builder: Can We Fix It?,PS,THQ,Action,0.57,0.31,0.21,,,31-אוג-01,2001
Bratz 4 Real,DS,THQ,Adventure,0.57,0.29,0.22,,,05-נוב-07,2007
Bratz 4 Real,DS,THQ,Adventure,0.57,0.29,0.22,,,05-נוב-07,2007
Ultra Street Fighter II: The Final Challengers,NS,Capcom,Fighting,0.57,0.22,0.22,0.09,,26-מאי-17,2017
Hasbro Family Game Night,PS2,Electronic Arts,Misc,0.57,0.28,0.22,,,11-נוב-08,2008
Jampack Summer 2002,PS2,Sony Computer Entertainment,Misc,0.57,0.28,0.22,,,28-מאי-02,2002
Rock Band 4,PS4,Harmonix Music Systems,Music,0.57,0.41,0.06,,,06-אוק-15,2015
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,PS2,THQ,Action,0.58,0.29,0.22,,,20-אוק-08,2008
Lost: Via Domus,X360,Ubisoft,Action,0.58,0.18,0.34,,,26-פבר-08,2008
Phineas and Ferb: Across the 2nd Dimension,Wii,Disney Interactive Studios,Action,0.58,0.35,0.18,,,02nd Aug 11,2011
DEFIANCE,X360,Trion Worlds,Action,0.58,0.38,0.14,,,02nd Apr 13,2013
Go Diego Go! Great Dinosaur Rescue,Wii,2K Play,Action,0.58,0.52,0.02,,,27-אוק-08,2008
Naruto: Uzumaki Chronicles 2,PS2,Namco Bandai,Action,0.58,0.28,0.22,,,04-ספט-07,2007
Shrek 2: Beg for Mercy,GBA,Activision,Adventure,0.58,0.42,0.15,,,27-אוק-04,2004
Shrek 2: Beg for Mercy,GBA,Activision,Adventure,0.58,0.42,0.15,,,27-אוק-04,2004
JoJo's Bizarre Adventure: All Star Battle,PS3,Namco Bandai Games,Fighting,0.58,0.05,0.02,0.5,,29-אפר-14,2014
LEGO Worlds,NS,Warner Bros. Interactive Entertainment,Misc,0.58,0.21,0.33,0,,05-ספט-17,2017
My Secret World by Imagine,DS,Ubisoft,Misc,0.58,0.38,0.19,,,16-ספט-08,2008
Smurf: Rescue In Gargamel's Castle,2600,Coleco,Action,0.59,0.55,0.03,,,01-ינו-82,1982
Barbie: Race & Ride,PS,Mattel Interactive,Action,0.59,0.33,0.22,,,01-דצמ-99,1999
Naruto: The Broken Bond,X360,Ubisoft,Action,0.59,0.24,0.28,,,18-נוב-08,2008
Skylanders: SuperChargers,WiiU,Activision,Action-Adventure,0.59,0.32,0.22,,,20-ספט-15,2015
Skylanders: SuperChargers,WiiU,Activision,Action-Adventure,0.59,0.32,0.22,,,20-ספט-15,2015
LEGO Indiana Jones 2: The Adventure Continues,PSP,LucasArts,Adventure,0.59,0.21,0.24,,,17-נוב-09,2009
Silent Hill: Shattered Memories,PS2,Konami,Adventure,0.59,0.13,0.22,0.01,,19-ינו-10,2010
Alice: Madness Returns,PS3,Electronic Arts,Adventure,0.59,0.22,0.24,0.04,,14-יונ-11,2011
LEGO Indiana Jones 2: The Adventure Continues,PSP,LucasArts,Adventure,0.59,0.21,0.24,,,17-נוב-09,2009
Silent Hill: Shattered Memories,PS2,Konami,Adventure,0.59,0.13,0.22,0.01,,19-ינו-10,2010
Alice: Madness Returns,PS3,Electronic Arts,Adventure,0.59,0.22,0.24,0.04,,14-יונ-11,2011
SoulCalibur V,X360,Namco Bandai,Fighting,0.59,0.39,0.13,0.02,,31-ינו-12,2012
Disney Sing It! High School Musical 3: Senior Year,Wii,Disney Interactive Studios,Misc,0.59,0.32,0.23,,,17-פבר-09,2009
Rock Band 2,PS2,MTV Games,Misc,0.59,0.29,0.23,,,18-נוב-08,2008
Disney Sing It: Family Hits,Wii,Disney Interactive Studios,Misc,0.59,0.38,0.17,,,03rd Aug 10,2010
Jeopardy!,Wii,THQ,Misc,0.59,0.55,,,,02nd Nov 10,2010
Jaws Unleashed,PS2,Majesco,Action,0.6,0.5,0.02,,,23rd May 06,2006
Transformers: The Game,X360,Activision,Action,0.6,0.51,0.04,,,26-יונ-07,2007
Gravity Rush    Read the review,PSV,Sony Computer Entertainment,Action-Adventure,0.6,0.21,0.2,0.09,8.4,12-יונ-12,2012
Gravity Rush    Read the review,PSV,Sony Computer Entertainment,Action-Adventure,0.6,0.21,0.2,0.09,8.4,12-יונ-12,2012
L.A. Noire,PS4,Rockstar Games,Adventure,0.6,0.18,0.32,,,14-נוב-17,2017
The Golden Compass,Wii,Sega,Adventure,0.6,0.26,0.28,,,04-דצמ-07,2007
L.A. Noire,PS4,Rockstar Games,Adventure,0.6,0.18,0.32,,,14-נוב-17,2017
The Golden Compass,Wii,Sega,Adventure,0.6,0.26,0.28,,,04-דצמ-07,2007
Fight Night Round 2,XB,EA Sports,Fighting,0.6,0.42,0.16,,,28-פבר-05,2005
From TV Animation One Piece: Grand Battle 2,PS,Bandai,Fighting,0.6,,,0.56,,20-מרץ-02,2002
Tales of Zesteria,PS3,Namco Bandai Games,Misc,0.6,0.07,0.07,0.42,,20-אוק-15,2015
Samurai Warriors 2,PS2,KOEI,Action,0.61,0.02,0.02,0.57,,19-ספט-06,2006
Dragon Ball Z: Buu's Fury,GBA,Atari,Action,0.61,0.44,0.16,,,14-ספט-04,2004
Spider-Man: Mysterio's Menace,GBA,Activision,Action,0.61,0.43,0.16,,,19-ספט-01,2001
Harry Potter and the Goblet of Fire,GBA,Electronic Arts,Adventure,0.61,0.44,0.16,,,08-נוב-05,2005
Harry Potter and the Goblet of Fire,GBA,Electronic Arts,Adventure,0.61,0.44,0.16,,,08-נוב-05,2005
Naruto: Ultimate Ninja,PS2,Namco Bandai Games,Fighting,0.61,0.5,0.02,,,17-ספט-08,2008
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,THQ,Misc,0.61,0.44,0.16,,,16-נוב-05,2005
Texas Hold 'Em Poker,GBA,Majesco,Misc,0.61,0.44,0.16,,,01-נוב-04,2004
Game & Watch Gallery 4,GBA,Nintendo,Misc,0.61,0.43,0.16,,,28-אוק-02,2002
Wipeout: The Game,DS,Activision,Misc,0.61,0.56,,,,22nd Jun 10,2010
Just Dance 2015,X360,Ubisoft,Music,0.61,0.42,0.13,,,21-אוק-14,2014
Ghostbusters: The Video Game    Read the review,X360,Atari,Action,0.62,0.43,0.14,,8.3,16-יונ-09,2009
Warriors Orochi 3,PS3,Tecmo Koei,Action,0.62,,0.04,0.57,,20-מרץ-12,2012
Viewtiful Joe,GC,Capcom,Action,0.62,0.38,0.1,0.12,,07-אוק-03,2003
Prince of Persia: The Forgotten Sands,X360,Ubisoft,Action,0.62,0.3,0.26,0,,18-מאי-10,2010
Tomb Raider III: Adventures of Lara Croft,PC,Eidos Interactive,Adventure,0.62,0.59,0.03,,,30-נוב-98,1998
SpongeBob's Atlantis SquarePantis,Wii,THQ,Adventure,0.62,0.56,0,,,12-נוב-07,2007
Tomb Raider III: Adventures of Lara Croft,PC,Eidos Interactive,Adventure,0.62,0.59,0.03,,,30-נוב-98,1998
SpongeBob's Atlantis SquarePantis,Wii,THQ,Adventure,0.62,0.56,0,,,12-נוב-07,2007
WWF in Your House,PS,Acclaim Entertainment,Fighting,0.62,0.35,0.24,,,31-אוק-96,1996
Dragon Ball Z: Ultimate Tenkaichi,PS3,Namco Bandai,Fighting,0.62,0.27,0.18,0.09,,25-אוק-11,2011
Guitar Hero: Metallica,PS3,Activision,Misc,0.62,0.28,0.24,,,29-מרץ-09,2009
The Black Eyed Peas Experience,Wii,Ubisoft,Misc,0.62,0.37,0.19,,,08-נוב-11,2011
Pac-Man Player's Choice Bundle,GC,Namco,Misc,0.62,0.48,0.12,,,02nd Dec 03,2003
Pac-Man Party,Wii,Namco Bandai,Misc,0.62,0.47,0.08,0.01,,16-נוב-10,2010
Nightmare Creatures,PS,Activision,Action,0.63,0.35,0.24,,,01-אוק-97,1997
Iron Man,PSP,Sega,Action,0.63,0.46,0.09,,,02nd May 08,2008
LEGO The Incredibles,NS,Warner Bros. Interactive Entertainment,Action,0.63,0.35,0.21,0.01,,15-יונ-18,2018
X-Man,2600,Unknown,Action,0.63,0.58,0.04,,,01-ינו-83,1983
Assassin's Creed IV: Black Flag,PC,Ubisoft,Action-Adventure,0.63,0.24,0.34,,,19-נוב-13,2013
Assassin's Creed IV: Black Flag,PC,Ubisoft,Action-Adventure,0.63,0.24,0.34,,,19-נוב-13,2013
Okami,PS2,Capcom,Adventure,0.63,0.11,0.03,0.15,,19-ספט-06,2006
Okami,PS2,Capcom,Adventure,0.63,0.11,0.03,0.15,,19-ספט-06,2006
Disney Sing It: Party Hits,Wii,Disney Interactive Studios,Misc,0.63,0.48,0.1,,,28-ספט-10,2010
Just Dance 3,PS3,Ubisoft,Misc,0.63,0.34,0.21,,,06-דצמ-11,2011
Namco Museum,GC,Namco,Misc,0.63,0.48,0.13,,,09-אוק-02,2002
Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,Action,0.64,0.13,0.07,,,30-יונ-09,2009
Sengoku Basara: Samurai Heroes,PS3,Capcom,Action,0.64,0.17,0.04,0.4,,12-אוק-10,2010
