Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Lucius,PC,Lace Mamba Global,Action,0.01,,0.01,,,30-יונ-12,2012
Nanairo Reincarnation,PSV,Silky`s,Action,0.01,,,0.01,,17-ספט-15,2015
Mad Max (2013),PC,Warner Bros. Interactive Entertainment,Action,0.01,,0.01,,,01-ספט-15,2015
Bound By Flame    Read the review,PS3,Focus Home Interactive,Action,0.01,,0.01,,6,07-מאי-14,2014
Gegege no Kitarou: Youkai Daiundoukai,Wii,Bandai,Action,0.01,,,0.01,,22nd Nov 07,2007
Vamwolf Cross,PSV,D3Publisher,Action,0.01,,,0.01,,23rd Jul 15,2015
Darius Burst: Chronicle Saviours,PS4,Kadokawa Games,Action,0.01,,,0.01,,30-מרץ-17,2017
Bob the Builder: Festival of Fun,DS,Blast! Entertainment Ltd,Action,0.01,,0.01,,,14-נוב-08,2008
Garfield and His Nine Lives,GBA,Game Factory,Action,0.01,0,0,,,10-מאי-06,2006
Infinite Stratos 2: Love and Purge,PS3,5pb,Action,0.01,,,0.01,,03rd Sep 15,2015
Battle B-Daman,GBA,Atlus,Action,0.01,0,0,,,26-יול-06,2006
Juusei to Diamond,PSP,Sony Computer Entertainment,Action,0.01,,,0.01,,18-יונ-09,2009
Rear Pheles: Red of Another,PSV,Unknown,Action,0.01,,,0.01,,27-אוג-15,2015
Brave: The Video Game,Wii,Disney Interactive Studios,Action-Adventure,0.01,,0.01,,,19-יונ-12,2012
Brave: The Video Game,DS,Disney Interactive Studios,Action-Adventure,0.01,,0.01,,,19-יונ-12,2012
Adventure Time: The Secret of the Nameless Kingdom,X360,Little Orbit,Action-Adventure,0.01,0.01,,,,18-נוב-14,2014
Onimusha: Warlords,NS,Capcom,Action-Adventure,0.01,,,0.01,,15-ינו-19,2019
The Amazing Spider-Man 2 (2014),PC,Activision,Action-Adventure,0.01,,0.01,,,29-אפר-14,2014
ARK: Survival Evolved,PC,Studio Wildcard,Action-Adventure,0.01,,0.01,,,02nd Jun 15,2015
Legend of Kay Anniversary,NS,THQ Nordic,Action-Adventure,0.01,,0.01,,,29-מאי-18,2018
S.Y.K: Shinsetsu Saiyuuki,PS2,Idea Factory,Adventure,0.01,,,0.01,,20-אוג-09,2009
Secret Game Portable,PSP,Yeti,Adventure,0.01,,,0.01,,27-מאי-10,2010
Wand of Fortune Portable,PSP,Idea Factory,Adventure,0.01,,,0.01,,10-יונ-10,2010
Hana Oboro: Sengoku Denranki,PSV,Idea Factory,Adventure,0.01,,,0.01,,19-ינו-17,2017
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,PS2,Marvelous Interactive,Adventure,0.01,,,0.01,,28-אוג-08,2008
GunParade Orchestra: Ao no Shou,PS2,Sony Computer Entertainment,Adventure,0.01,,,0.01,,20-יול-06,2006
Instant Brain,X360,Cave,Adventure,0.01,,,0.01,,10-נוב-11,2011
Summer Lesson: Miyamoto Hikari Collection,PS4,Namco Bandai Games,Adventure,0.01,,,0.01,,25-מאי-17,2017
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,XB,Activision,Adventure,0.01,0.01,0,,,01-נוב-05,2005
Flipping Death,NS,Rising Star,Adventure,0.01,0.01,,,,16-אוק-18,2018
Uta no * Prince-Sama: Sweet Serenade,PSP,Broccoli,Adventure,0.01,,,0.01,,10-פבר-11,2011
Hiiro no Kakera: Shin Tamayori Hime Denshou,PS2,Idea Factory,Adventure,0.01,,,0.01,,01-אוק-09,2009
Datenshi no Amai Yuuwaku x Kaikan Phrase,DS,FuRyu Corporation,Adventure,0.01,,,0.01,,18-פבר-10,2010
Kana: Imouto,PSP,CyberFront,Adventure,0.01,,,0.01,,07-אוק-10,2010
Last Escort: Club Katze,PS2,D3 Publisher,Adventure,0.01,,,0.01,,18-פבר-10,2010
Black Wolves Saga: Weiss und Schwarz,PSV,Idea Factory,Adventure,0.01,,,0.01,,26-ינו-17,2017
Ostwind/Windstorm,PC,EuroVideo Medien,Adventure,0.01,,0.01,,,27-יול-17,2017
Umineko no Naku Koro ni Portable 1,PSP,Alchemist,Adventure,0.01,,,0.01,,20-אוק-11,2011
World Election,PSV,Piacci,Adventure,0.01,,,0.01,,20-יול-17,2017
Accel World: Kasoku no Chouten,PSP,Namco Bandai Games,Adventure,0.01,,,0.01,,31-ינו-13,2013
Curse of the Amsterdam Diamond,DS,Easy Interactive,Adventure,0.01,,0.01,,,16-מרץ-12,2012
Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,Capcom,Adventure,0.01,,,0.01,,20-מרץ-08,2008
Wallace & Gromit: Curse of the Were-Rabbit,XB,Konami,Adventure,0.01,0.01,0,,,29-ספט-05,2005
Tantei Jinguuji Saburo: Hai to Diamond,PSP,Arc System Works,Adventure,0.01,,,0.01,,17-ספט-09,2009
Duel Love: Koisuru Otome wa Shouri no Megami,DS,Namco Bandai,Adventure,0.01,,,0.01,,13-מרץ-08,2008
Tomoyo After: It's a Wonderful Life CS Edition,PS2,Prototype,Adventure,0.01,,,0.01,,25-ינו-07,2007
Harry Potter and the Chamber of Secrets,PC,Electronic Arts,Adventure,0.01,,0.01,,,14-נוב-02,2002
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,PS2,Datam Polystar,Adventure,0.01,,,0.01,,22nd Feb 07,2007
Nora to Koujo to Noraneko Heart,PSV,Harukaze,Adventure,0.01,,,0.01,,28-ספט-17,2017
Small Town Terrors - Galdor's Bluff,PC,GSP,Adventure,0.01,,0.01,,,20-מאי-16,2016
Mystery Legends: Beauty and the Beast,PC,Focus Multimedia,Adventure,0.01,,0.01,,,16-מרץ-12,2012
Myself; Yourself,PS2,Yeti,Adventure,0.01,,,0.01,,20-דצמ-07,2007
To Heart Portable,PSP,Aquaplus,Adventure,0.01,,,0.01,,27-אוק-11,2011
Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,ChunSoft,Adventure,0.01,,,0.01,,25-מאי-06,2006
FairlyLife: MiracleDays,PSP,Piacci,Adventure,0.01,,,0.01,,25-פבר-10,2010
Moe Moe 2-Ji Daisenryaku 2,PSP,System Soft,Adventure,0.01,,,0.01,,04-פבר-10,2010
Real Crimes: The Unicorn Killer,DS,Unknown,Adventure,0.01,,0.01,,,30-נוב-11,2011
Touch Detective 3: Does Funghi Dream of Bananas?,3DS,Success,Adventure,0.01,,,0.01,,01-מאי-14,2014
Shinseiki Evangelion: Koutetsu no Girlfriend Tokubetsu-Hen Portable,PSP,CyberFront,Adventure,0.01,,,0.01,,09-אפר-09,2009
H2O+: Footprints in the Sand,PS2,Kadokawa Shoten,Adventure,0.01,,,0.01,,24-אפר-08,2008
Ishin Renka: Ryouma Gaiden,PSP,D3 Publisher,Adventure,0.01,,,0.01,,25-נוב-10,2010
Hanasaku Manimani,PSV,5pb,Adventure,0.01,,,0.01,,25-ספט-14,2014
S.Y.K: Shinsetsu Saiyuuki Portable,PSP,Idea Factory,Adventure,0.01,,,0.01,,29-יול-10,2010
Cake-ya San Monogatari: Ooishii Sweets o Tsukurou!,3DS,Nippon Columbia,Adventure,0.01,,,0.01,,09-נוב-17,2017
Wand of Fortune: Mirai e no Prologue,PS2,Idea Factory,Adventure,0.01,,,0.01,,25-פבר-10,2010
Memories Off,PSP,5pb,Adventure,0.01,,,0.01,,29-מאי-08,2008
Time Leap,X360,Prototype,Adventure,0.01,,,0.01,,25-יונ-09,2009
Routes PE,PS2,Aquaplus,Adventure,0.01,,,0.01,,25-ינו-07,2007
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PS4,5pb,Adventure,0.01,,,0.01,,07-ספט-17,2017
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,CyberFront,Adventure,0.01,,,0.01,,11-יונ-09,2009
"Element Girl: Love, Fashion and Friends",DS,DTP Entertainment,Adventure,0.01,,0.01,,,14-נוב-08,2008
Jake Hunter Detective Story: Prism of Eyes,NS,Arc System Works,Adventure,0.01,,,0.01,,09-אוג-18,2018
Heart no Kuni no Alice,PS2,Prototype,Adventure,0.01,,,0.01,,18-ספט-08,2008
Alone in the Dark (2008),PC,Atari,Adventure,0.01,,0.01,,,23rd Jun 08,2008
Memories Off #5: Togireta Film,PSP,5pb,Adventure,0.01,,,0.01,,29-ינו-09,2009
Ken ga Kimi: Momoyo Tsuzuri,PSV,Rejet,Adventure,0.01,,,0.01,,22nd Dec 16,2016
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,5pb,Adventure,0.01,,,0.01,,30-מרץ-17,2017
"Tsumigui: Sen no Noroi, Sen no Inori for V",PSV,Dramatic Create,Adventure,0.01,,,0.01,,29-יונ-17,2017
Wagamama High Spec,PSV,iMel,Adventure,0.01,,,0.01,,27-יול-17,2017
Shinigami to Shoujo,PSP,Takuyo,Adventure,0.01,,,0.01,,28-יול-11,2011
Utsusemi no Mawari,PSV,Matatabi,Adventure,0.01,,,0.01,,27-יול-17,2017
Legacy of Kain: Defiance,PC,Eidos Interactive,Adventure,0.01,,0.01,,,17-דצמ-03,2003
Hoshizora no Comic Garden,DS,D3 Publisher,Adventure,0.01,,,0.01,,11-ספט-08,2008
Hatsuyuki Sakura,PSV,Entergram,Adventure,0.01,,,0.01,,23rd Mar 17,2017
Psychic Detective,PS,Electronic Arts,Adventure,0.01,0.01,0,,,30-נוב-95,1995
Kanokon: Esuii,PS2,5pb,Adventure,0.01,,,0.01,,31-יול-08,2008
Scarlett: Nichijou no Kyoukaisen,PS2,Kadokawa Shoten,Adventure,0.01,,,0.01,,30-אוק-08,2008
Real Rode,PS2,Kadokawa Shoten,Adventure,0.01,,,0.01,,04-דצמ-08,2008
Muv-luv Photonmelodies,PS3,5pb,Adventure,0.01,,,0.01,,28-אוג-14,2014
Pia Carrot e Youkoso!! G.P. Gakuen Princess,PS2,GN Software,Adventure,0.01,,,0.01,,22nd Jan 09,2009
Hayarigami 3: Keishichou Kaii Jiken File,PSP,Nippon Ichi Software,Adventure,0.01,,,0.01,,06-אוג-09,2009
Mermaid Gothic,PSP,Quinrose,Adventure,0.01,,,0.01,,20-נוב-14,2014
Kamiyo Gakuen Makorouku Kurunugia,PS2,Idea Factory,Adventure,0.01,,,0.01,,09-אוק-08,2008
Gakuen Alice: KiraKira * Memory Kiss,PS2,Kids Station,Adventure,0.01,,,0.01,,22nd Jun 06,2006
Sea Monsters: A Prehistoric Adventure,DS,DSI Games,Adventure,0.01,0.01,0,,,07-ינו-08,2008
Witch's Wish,DS,Natsume,Adventure,0.01,,,0.01,,26-מאי-10,2010
Hoshizora * Planet: One Small Step For...,PSP,CyberFront,Adventure,0.01,,,0.01,,10-מרץ-11,2011
D.C. Girl's Symphony Pocket,PSP,Idea Factory,Adventure,0.01,,,0.01,,24-יונ-10,2010
Urakata Hakuouki: Akatsuki no Shirabe,PSP,Idea Factory,Adventure,0.01,,,0.01,,07-אוג-14,2014
Side Kicks!,PSV,Nippon Ichi Software,Adventure,0.01,,,0.01,,23rd Mar 17,2017
No Fate! Only the Power of Will,PSP,Alchemist,Adventure,0.01,,,0.01,,25-פבר-10,2010
RepKiss,PSV,Entergram,Adventure,0.01,,,0.01,,13-אפר-17,2017
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,PC,Activision,Adventure,0.01,,0.01,,,27-אוק-09,2009
Little Anchor,PS2,D3 Publisher,Adventure,0.01,,,0.01,,23rd Apr 09,2009
Dear Girl: Stories Hibiki - Hibiki Tokkun Daisakusen!,DS,ASCII Media Works,Adventure,0.01,,,0.01,,17-דצמ-09,2009
Majin Tantei Nougami Neuro: Neuro to Miko no Bishoku Sanmai,DS,Marvelous Interactive,Adventure,0.01,,,0.01,,12-יונ-08,2008
Teikoku Kaleido: Kakumei no Rondo,PSV,Dramatic Create,Adventure,0.01,,,0.01,,21-ספט-17,2017
Vampire Saga: Welcome to Hell Lock,PC,Alawar Entertainment,Adventure,0.01,,0.01,,,14-יול-11,2011
Fushigi Yuugi: Suzaku Ibun,PS2,Idea Factory,Adventure,0.01,,,0.01,,29-מאי-08,2008
Edel Blume,PS2,Idea Factory,Adventure,0.01,,,0.01,,24-אפר-08,2008
Captain Earth: Mind Labyrinth,PSV,Namco Bandai Games,Adventure,0.01,,,0.01,,26-פבר-15,2015
Clear: Atarashii Kaze no Fuku Oka de,PS2,Sweets,Adventure,0.01,,,0.01,,19-פבר-09,2009
Canvas 3: Tanshoku no Pastel,PS2,GN Software,Adventure,0.01,,,0.01,,17-ספט-09,2009
NG    Read the review,PSV,Experience Inc.,Adventure,0.01,,,0.01,7,13-ספט-18,2018
Ouran Koukou Host Bu DS,DS,Idea Factory,Adventure,0.01,,,0.01,,19-מרץ-09,2009
Darkness and Sorrow: 5 Game Pack,PC,Focus Multimedia,Adventure,0.01,,0.01,,,26-ספט-14,2014
Pirates of Black Cove,PC,Paradox Interactive,Adventure,0.01,,0.01,,,02nd Aug 11,2011
Rewrite: Harvest Festa!,PSV,Prototype,Adventure,0.01,,,0.01,,18-מאי-17,2017
Bratz: Forever Diamondz,GBA,THQ,Adventure,0.01,0.01,0,,,18-ספט-06,2006
Harakuju Tantei Gakuen: Steel Wood,PSP,Idea Factory,Adventure,0.01,,,0.01,,22nd Apr 10,2010
Kira * Kira: Rock 'n' Roll Show,PS2,Princess Soft,Adventure,0.01,,,0.01,,26-פבר-09,2009
Myself; Yourself: Sorezore no Finale,PS2,Yeti,Adventure,0.01,,,0.01,,28-מאי-09,2009
Renai 0 Kilometer,PSV,Kaga Create,Adventure,0.01,,,0.01,,28-אוג-14,2014
Momotsuki: Koufuu no Misasagi-Ou,PS2,Kadokawa Shoten,Adventure,0.01,,,0.01,,01-אוק-09,2009
The Adventures of Tintin: The Game,PC,Ubisoft,Adventure,0.01,0,0,,,06-דצמ-11,2011
Date A Live: Rio Reincarnation HD,PS4,Compile Heart,Adventure,0.01,,,0.01,,12-אוק-17,2017
Desert Kingdom,PS2,Idea Factory,Adventure,0.01,,,0.01,,27-מאי-10,2010
Survivor,Wii,Valcon Games,Adventure,0.01,0.01,,,,19-אוק-10,2010
Wand of Fortune R2 FD: Kimi ni Sasageru Epilogue,PSV,Idea Factory,Adventure,0.01,,,0.01,,04-אוק-18,2018
Nancy Drew: Secret of the Scarlet Hand,PC,DreamCatcher Interactive,Adventure,0.01,0.01,,,,04-ספט-02,2002
Leisure Suit Larry: Wet Dreams Don't Dry,PC,Assemble Entertainment,Adventure,0.01,,0.01,,,07-נוב-18,2018
Tsuihou Senkyo,PSV,Nippon Ichi Software,Adventure,0.01,,,0.01,,27-אפר-17,2017
