Title,Platforms,Publisher,Genre,Total_Sales,USA_Sales,EUR_Sales,Japan_Sales,Rating,Release_Date,Year
Alan Wake    Read the review,X360,Microsoft Game Studios,Action,1.33,0.66,0.5,0.05,9.2,18  May 10,2010.0
Kid Icarus: Uprising    Read the review,3DS,Nintendo,Action,1.28,0.48,0.36,0.37,9.2,23rd Mar 12,2012.0
LEGO City Undercover    Read the review,WiiU,Nintendo,Action,1.24,0.5,0.52,0.13,7.8,18  Mar 13,2013.0
Bayonetta    Read the review,PS3,Sega,Action,1.21,0.44,0.4,0.21,8.4,05  Jan 10,2010.0
One Piece Pirate Warriors    Read the review,PS3,Namco Bandai Games,Action,1.17,0.01,0.24,0.86,7.6,25  Sep 12,2012.0
Sunset Overdrive    Read the review,XOne,Microsoft Studios,Action,1.16,0.64,0.42,0.0,8.8,28  Oct 14,2014.0
Pok̩mon Rumble Blast    Read the review,3DS,Nintendo,Action,1.15,0.47,0.26,0.35,5.6,24  Oct 11,2011.0
Metal Gear Solid HD Collection    Read the review,PS3,Konami Digital Entertainment,Action,1.11,0.52,0.44,0.0,8.9,08  Nov 11,2011.0
Dante's Inferno    Read the review,PS3,Electronic Arts,Action,1.08,0.64,0.28,0.04,7.2,09  Feb 10,2010.0
Darksiders    Read the review,X360,THQ,Action,1.06,0.67,0.28,0.01,8.2,05  Jan 10,2010.0
God of War: Ghost of Sparta    Read the review,PSP,Sony Computer Entertainment,Action,1.01,0.41,0.36,0.03,8.4,02nd Nov 10,2010.0
Brutal Legend    Read the review,X360,Electronic Arts,Action,0.97,0.62,0.26,0.0,7.8,13  Oct 09,2009.0
Skylanders: Spyro's Adventure    Read the review,PS3,Activision,Action,0.94,0.39,0.4,0.0,7.7,16  Oct 11,2011.0
Bayonetta    Read the review,X360,Sega,Action,0.93,0.51,0.25,0.09,9.1,05  Jan 10,2010.0
Monster Hunter: World    Read the review,XOne,Capcom,Action,0.93,0.67,0.17,0.0,8.0,26  Jan 18,2018.0
Dante's Inferno    Read the review,X360,Electronic Arts,Action,0.92,0.63,0.2,0.02,7.2,09  Feb 10,2010.0
Ghostbusters: The Video Game    Read the review,Wii,Atari,Action,0.87,0.59,0.21,0.0,7.3,16  Jun 09,2009.0
Ninja Gaiden Sigma 2    Read the review,PS3,Tecmo Koei,Action,0.85,0.52,0.16,0.08,8.8,29  Sep 09,2009.0
